a,b,c,y
-1.43,-2.59,0.12,-11.28
6.45,-7.89,9.22,-19.17
2.71,6.57,4.15,20.23
9.31,-4.6,6.16,-1.02
0.76,-0.33,-1.29,1.77
7.03,6.61,-8.27,41.77
7.63,-5.12,-0.71,0.23
-9.43,7.02,-6.36,8.25
-5.76,5.96,-3.19,10.12
-4.47,-9.8,8.96,-47.83
-8.29,4.4,-0.23,-3.11
2.92,-0.18,5.86,-1.32
-8.14,-5.57,3.84,-37.06
-0.53,0.62,-1.49,2.91
4.92,-3.38,4.06,-4.41
-7.59,-6.15,-7.61,-25.64
0.72,5.24,-6.3,23.58
4.49,9.53,0.49,37.64
-4.34,-7.99,-6.12,-26.49
-9.72,0.68,-4.51,-12.58
9.49,1.07,3.95,18.95
-0.18,7.45,1.48,21.23
-0.61,-1.19,-6.31,2.65
-0.45,6.44,-1.99,20.79
-8.52,2.59,-8.93,0.04
-3.92,9.88,-7.63,29.95
5.29,2.13,5.81,11.25
-0.99,-1.15,7.2,-12.03
9.8,-3.89,2.42,4.88
8.95,-5.84,-5.78,5.64
3.21,-6.86,-6.52,-7.61
-0.99,1.88,-4.17,7.85
-5.37,4.14,4.06,-3.11
8.48,5.76,2.5,31.96
3.22,8.67,-1.5,33.26
8.17,6.53,-8.57,44.3
-6.68,-3.85,4.98,-30.26
-7.51,3.77,3.99,-7.87
8.85,0.01,-0.12,17.97
-1.36,-3.55,-4.99,-8.31
-8.17,9.24,6.72,3.57
9.99,3.45,-4.61,34.38
-9.2,5.13,-0.59,-3.07
-6.37,1.71,2.7,-11.22
-0.17,-8.18,-3.04,-22.21
7.15,-3.4,3.87,0.87
-4.24,8.9,6.27,11.43
-3.71,-3.53,9.4,-27.58
-1.92,0.29,9.76,-13.07
-1.74,-6.25,-2.76,-19.99
5.13,2.51,5.2,12.77
8.55,-1.24,3.97,10.01
-7.57,9.46,2.18,11.08
1.02,1.05,-8.14,13.62
9.85,8.26,-0.77,45.95
-0.03,4.33,0.18,13.39
-4.53,6.69,9.6,1.43
-2.33,8.44,0.16,21.13
7.59,7.28,-4.48,41.63
8.68,0.15,6.41,10.9
-4.34,-4.03,1.74,-21.93
-7.03,0.77,-3.1,-8.65
1.04,0.87,-0.89,5.44
3.95,1.44,-5.33,17.84
5.51,-9.13,4.89,-21.51
-2.28,3.27,6.41,-2.04
9.62,-0.09,-9.26,27.56
7.39,7.48,-1.19,38.4
0.52,-0.86,4.45,-6.61
-6.91,-0.61,9.38,-24.64
-3.23,3.85,3.0,2.67
7.19,-2.4,-3.67,10.07
4.37,5.19,7.45,17.04
2.62,8.42,9.95,20.59
4.94,-1.32,-8.03,13.27
-1.13,3.88,8.07,0.55
-9.08,5.92,-4.13,3.53
0.62,1.32,5.85,-0.45
-6.6,-8.42,7.42,-46.15
8.26,-7.14,-0.78,-4.37
-4.92,-4.89,-9.81,-14.34
3.55,-6.84,-1.17,-13.26
-3.09,1.75,2.78,-4.05
6.91,-6.02,-2.31,-1.76
-0.34,-5.26,1.44,-19.3
-4.1,9.56,3.16,16.61
-4.51,1.32,3.72,-8.79
2.13,-0.07,8.08,-4.19
-4.28,5.98,2.14,6.81
2.42,3.56,4.42,11.67
3.18,6.77,2.56,24.7
-3.82,-1.18,1.59,-13.18
4.65,-8.2,-4.1,-11.2
-7.36,0.79,9.43,-22.09
0.62,8.27,6.61,19.4
-0.36,6.13,4.93,13.67
-3.23,-7.7,9.26,-37.99
7.2,4.48,9.6,19.25
9.35,6.09,-2.68,39.67
0.73,-0.9,3.46,-4.78
3.45,1.69,6.45,5.74
-5.32,-9.5,7.68,-46.91
1.23,8.31,-5.57,33.82
8.19,-3.96,-1.83,6.69
-7.2,8.93,-3.91,16.07
7.75,-7.29,-0.93,-5.43
3.41,4.86,8.92,11.76
-6.91,-1.7,-8.02,-10.5
-0.21,-1.84,9.03,-14.5
-1.13,9.01,7.11,17.76
-8.01,3.71,0.89,-5.31
-2.04,-6.2,-7.56,-15.19
6.96,-0.91,3.26,7.51
-9.57,5.74,-5.13,2.69
-7.48,1.29,-8.63,-2.43
-5.68,7.39,-3.43,13.9
-7.05,8.01,-9.94,20.05
-7.4,-4.99,-6.51,-23.48
3.22,-9.48,-9.7,-12.21
-3.52,-6.52,-8.95,-18.01
4.83,0.52,4.91,5.45
0.26,-7.82,0.08,-22.89
8.91,-9.13,5.66,-14.82
-0.84,9.28,-8.78,34.49
-0.42,-1.97,3.72,-11.56
-8.53,-8.38,2.17,-44.3
-8.69,-4.5,2.66,-33.96
9.89,0.61,-0.93,22.41
2.11,-8.02,4.04,-23.44
5.38,4.42,-5.7,29.14
-0.97,-5.43,-3.22,-15.51
-8.1,-1.46,3.3,-23.73
-2.51,-6.95,8.46,-33.47
-8.14,-8.07,4.78,-44.88
6.24,1.13,1.73,13.73
-7.56,-2.93,3.31,-27.39
5.01,7.36,4.42,28.34
-2.97,1.56,-5.75,4.36
3.13,-5.52,-7.84,-2.19
5.25,1.48,6.14,8.4
6.9,9.49,6.37,35.36
-9.47,8.58,6.59,-0.26
-4.65,-6.39,4.05,-32.69
-9.88,7.4,1.33,1.53
-1.98,-7.16,2.66,-27.29
-5.7,-1.6,-3.18,-12.86
-2.6,4.43,5.54,2.36
-8.95,-6.85,2.36,-40.9
3.48,-4.56,3.24,-10.5
-4.54,5.1,-7.72,13.99
-1.4,-4.34,3.57,-20.13
-9.09,-2.09,1.99,-26.38
-9.85,-3.97,-5.78,-25.58
-3.44,-9.85,4.94,-41.08
-6.49,-2.4,4.07,-25.2
6.12,-8.56,7.24,-20.68
-9.15,-9.63,8.42,-55.19
1.47,4.19,-1.65,16.66
-7.7,-9.58,-3.5,-40.42
6.64,8.4,-8.24,46.06
6.89,-5.13,1.78,-3.89
-3.79,-3.21,-3.34,-13.95
-6.64,0.21,-7.72,-6.01
-3.01,4.55,6.38,1.18
6.3,-5.27,-7.07,4.08
5.2,3.11,-6.46,26.83
5.46,-0.12,5.09,5.5
8.48,1.29,2.71,17.58
2.49,7.28,2.54,24.39
-1.16,-3.94,-4.51,-9.48
-8.88,0.15,-3.79,-13.68
6.63,-8.47,7.29,-19.39
7.11,2.3,0.14,20.36
5.84,7.92,-1.01,36.6
6.2,3.04,-3.57,24.81
-8.76,-7.93,7.98,-49.25
-3.13,4.29,0.09,6.7
-1.24,-1.21,0.45,-6.23
-6.83,-2.54,-4.34,-17.32
1.96,5.78,2.95,18.56
-8.68,-8.11,3.57,-45.43
3.13,8.13,7.47,23.96
-3.33,1.65,-7.17,4.69
3.97,-2.16,1.9,0.62
8.76,-3.81,-2.47,8.8
3.4,6.58,4.78,20.88
3.71,0.53,2.92,5.67
-2.75,-6.39,-5.72,-18.73
8.95,-0.27,-5.47,22.69
6.89,-7.98,5.42,-15.43
6.7,7.67,-9.25,45.22
-7.38,-2.47,-6.76,-14.68
6.63,5.42,6.18,23.61
-1.78,3.53,-5.25,12.74
-1.12,-4.3,4.97,-20.7
-3.81,6.17,-0.62,11.7
6.7,-2.64,8.94,-2.91
-4.36,-2.36,0.55,-16.4
9.33,6.34,6.03,31.89
2.82,7.48,1.09,27.28
-7.95,6.92,7.02,-2.35
-4.54,8.11,-7.05,23.13
-1.25,8.93,-5.56,29.41
-9.47,-8.93,0.04,-45.63
-5.28,9.89,-2.5,22.75
6.78,3.0,5.83,16.93
-7.25,-4.26,6.6,-33.97
4.11,-1.03,-9.89,14.76
-8.42,-4.88,6.7,-38.95
0.56,-7.78,-4.24,-18.22
-3.98,-9.05,-1.6,-33.36
-7.78,8.1,1.93,6.28
-9.67,0.31,-5.16,-12.92
2.3,-5.19,-1.67,-8.88
3.29,-8.29,9.49,-27.22
0.15,9.77,1.08,28.78
-2.19,-0.6,2.71,-8.51
-9.68,5.77,-3.1,1.0
4.66,2.57,5.43,11.56
-9.11,0.92,6.27,-22.18
-6.5,5.58,-0.71,4.21
6.23,-8.74,5.52,-19.95
-0.85,-4.13,-9.12,-4.92
8.67,0.31,9.78,8.63
0.86,-4.93,5.07,-17.97
5.62,7.32,-3.36,37.0
-7.51,-2.64,7.79,-30.77
-2.27,9.47,-0.08,22.89
-0.05,8.49,0.39,25.23
-8.42,2.05,6.45,-17.9
0.91,-3.58,-8.4,-0.75
2.05,-1.48,3.8,-4.5
-2.97,-9.15,7.4,-41.86
-4.51,9.6,8.96,12.24
-8.5,2.75,-2.73,-5.78
9.06,-7.14,2.15,-6.17
5.63,-9.3,-8.66,-7.89
-2.34,1.34,2.1,-3.23
3.58,8.98,-2.56,36.71
0.59,-2.04,2.99,-8.58
-5.01,-7.73,4.71,-38.41
1.23,-4.76,-4.79,-7.03
-1.07,9.93,-4.29,32.44
-7.55,7.06,-0.96,6.75
7.97,-1.1,-8.24,20.48
-3.61,-3.05,-8.7,-8.55
0.84,7.83,7.03,17.87
2.75,5.87,0.18,21.82
-7.57,-5.98,-7.22,-25.83
1.08,-2.62,6.07,-11.88
1.03,2.24,-8.28,16.34
4.38,0.51,5.38,6.75
6.47,-8.52,9.45,-22.41
3.6,-3.11,7.56,-10.12
5.61,2.8,-6.36,26.5
8.21,-8.89,-7.52,-2.84
-6.94,-6.71,-3.55,-30.58
8.82,7.9,6.92,33.97
-4.99,2.7,1.02,-2.6
0.67,0.05,-6.63,8.42
8.83,-6.92,3.17,-6.4
6.85,1.27,6.5,10.34
-9.43,-9.09,2.83,-49.6
5.34,-1.67,2.78,2.55
-0.04,2.54,-4.21,12.3
6.09,3.7,-4.05,27.18
-8.54,-8.8,-1.21,-42.61
2.13,-3.75,4.37,-11.33
4.68,7.22,9.51,21.84
1.23,-3.62,-0.67,-7.38
-4.65,-5.04,-8.06,-16.48
2.31,-5.03,7.31,-17.3
-6.81,-3.45,1.55,-25.85
-0.03,0.29,-0.02,1.61
-3.83,-9.54,8.9,-46.48
-5.7,-2.94,-8.99,-11.27
-0.1,7.65,3.09,19.05
6.94,-1.38,7.65,2.2
4.55,5.28,-2.68,27.09
-6.11,1.06,-8.53,-0.13
0.09,5.29,-4.41,21.21
-7.62,9.5,-2.12,15.33
5.9,-3.22,8.78,-6.63
0.18,0.0,-9.09,9.12
-7.26,-3.34,-0.53,-24.67
0.31,-3.44,2.26,-11.78
-6.75,9.81,4.79,11.0
6.57,0.65,4.17,11.35
-4.0,6.31,-2.63,12.92
1.67,5.94,4.51,15.41
3.76,-9.47,-0.51,-19.52
5.52,1.55,4.43,11.08
1.67,-6.59,2.58,-19.71
-7.04,3.61,-9.37,5.46
8.96,-7.8,-9.62,4.03
3.81,-1.79,5.5,-2.99
8.41,7.46,4.72,34.73
-5.85,-3.5,3.24,-25.34
0.51,-3.72,-6.54,-3.21
-2.91,5.44,4.42,5.84
2.87,3.87,2.2,15.28
1.16,-5.5,9.46,-23.29
-4.05,-4.22,-5.85,-15.03
-3.02,8.67,5.91,13.64
-4.53,-7.56,3.53,-36.29
6.37,9.09,6.09,34.88
-4.19,-4.25,4.28,-25.72
-4.87,-0.42,-5.96,-4.6
0.77,8.66,3.92,24.05
1.74,-5.15,3.4,-14.84
0.62,2.76,-8.95,17.79
-7.99,5.42,-9.9,10.59
1.01,8.58,-1.86,30.56
-0.45,-6.01,9.28,-28.62
-3.58,2.92,8.16,-6.01
0.7,4.46,8.73,6.4
8.26,-6.5,7.64,-10.12
9.94,-2.06,-0.09,14.79
8.73,9.24,8.52,36.71
1.36,-7.85,9.66,-30.54
-4.31,9.78,0.87,18.67
7.02,-0.64,-6.14,18.31
-7.75,-6.75,-0.82,-34.94
4.73,5.82,1.36,25.88
5.15,-6.49,7.12,-15.54
0.31,-8.27,3.39,-28.14
-6.3,-7.19,-3.53,-30.64
-5.29,5.08,9.08,-4.03
-3.96,4.46,-9.77,14.79
-8.76,-7.64,-3.86,-37.21
-1.89,0.05,7.9,-11.65
-7.65,8.32,-4.1,13.35
2.29,-5.62,-7.33,-4.48
2.11,-1.68,0.98,-1.12
-0.58,0.75,3.28,-2.12
5.09,7.46,-8.36,41.29
-1.07,4.08,-8.44,18.38
0.95,0.11,1.45,0.71
-7.0,-3.44,0.41,-24.48
1.66,-8.18,0.21,-21.2
6.17,-0.93,0.26,9.12
-0.75,6.14,4.47,12.5
-2.08,6.33,4.92,9.78
-3.11,-8.72,9.88,-42.33
8.69,-8.62,8.68,-16.66
5.38,5.32,9.57,17.25
2.92,-1.59,9.86,-9.54
8.14,-2.49,3.65,5.84
3.24,0.79,3.07,5.6
0.75,0.58,4.56,-1.06
-5.55,-9.93,-9.55,-31.56
0.89,0.64,6.47,-2.06
-5.05,-3.08,-4.49,-14.11
-7.74,6.19,-1.62,4.4
5.32,7.68,-9.69,43.43
-9.33,1.96,4.07,-16.63
-9.03,4.81,-1.95,-1.65
7.27,-8.87,0.08,-11.8
-4.21,6.32,4.63,5.63
3.45,-3.59,-3.96,0.7
-7.13,3.2,-5.58,0.86
8.97,7.59,8.23,32.65
2.52,-1.46,-0.09,1.92
3.43,5.72,-3.63,27.44
-1.67,-7.02,-2.47,-21.91
6.99,-3.99,4.15,-2.71
6.12,8.29,1.25,36.49
-7.32,-5.14,-5.93,-24.26
2.93,8.44,6.94,24.91
-6.19,-4.63,3.47,-29.3
2.06,7.47,-6.24,32.83
1.18,-0.41,7.39,-7.06
-3.34,9.14,-9.69,31.61
-7.65,9.99,-0.42,14.6
-5.15,2.09,-5.91,2.43
5.51,-2.39,0.67,2.86
-2.81,-4.77,0.26,-20.42
9.63,-0.61,6.79,10.64
8.29,-2.59,-1.72,10.2
-7.08,-4.78,8.7,-37.34
1.58,-1.65,-6.95,4.92
6.67,-0.01,3.09,10.65
3.7,-4.85,6.43,-12.88
-0.19,-6.64,5.9,-26.35
-6.61,4.41,-0.23,0.78
2.84,-8.83,-9.32,-11.8
6.93,8.9,3.36,37.25
6.85,-5.37,4.14,-7.06
-9.82,0.11,-2.54,-17.32
2.33,-0.34,-0.24,3.38
-9.87,1.03,-9.76,-7.28
9.55,-9.66,6.26,-16.21
3.48,6.12,8.2,17.3
-7.02,-6.16,0.53,-32.91
6.3,-4.65,-2.06,0.35
1.3,9.8,-5.48,37.85
3.68,6.96,3.07,25.7
-8.13,-2.41,1.05,-25.2
-8.88,-9.81,-6.57,-41.15
5.69,1.32,7.16,8.18
-8.09,0.56,-9.15,-5.11
7.75,-0.49,-9.07,24.08
-8.51,8.51,7.99,0.4
8.58,-3.71,9.23,-3.25
1.74,5.05,4.25,14.22
-6.75,-5.19,6.69,-35.64
-2.22,7.93,-3.37,22.73
9.77,4.48,0.02,32.69
9.49,-8.93,-1.26,-6.31
5.38,9.1,-2.07,39.74
5.47,-9.41,-4.53,-12.18
-2.88,8.82,-1.36,22.03
3.59,3.21,-8.29,24.44
4.26,-8.36,-6.92,-10.25
4.23,2.68,4.79,11.61
-9.9,-3.83,-2.8,-28.27
-4.6,-7.35,-6.25,-25.6
-1.84,-9.47,-2.92,-28.97
-8.14,1.96,-3.51,-7.2
-2.24,-8.31,8.02,-37.16
8.1,9.56,1.44,43.68
-7.22,-3.98,-0.14,-25.81
-8.73,-1.31,-1.58,-20.01
-4.97,-5.07,2.5,-27.63
1.88,-6.09,-7.86,-7.06
-3.36,2.4,6.08,-4.45
-3.41,-3.31,6.31,-22.2
-7.28,-3.59,8.95,-35.32
-5.98,-3.72,9.29,-32.0
3.9,-0.18,1.52,5.66
-5.15,-2.48,6.33,-24.26
1.28,1.84,0.91,7.32
3.63,1.0,9.06,0.44
-1.23,-4.17,3.86,-18.64
6.38,5.91,-1.82,31.6
-5.16,3.17,4.3,-5.11
5.78,-8.52,9.81,-24.31
0.13,8.41,3.83,21.73
0.87,5.81,-2.81,22.47
2.76,-8.3,5.38,-25.14
3.15,-2.9,2.94,-3.96
3.55,-2.01,5.05,-3.59
9.31,-1.39,-9.79,24.21
0.38,1.61,1.5,4.69
-1.08,-2.18,5.45,-14.65
-3.1,-9.51,-7.91,-27.13
-1.68,9.23,-7.68,32.27
-3.76,-0.89,-5.86,-4.43
-0.34,-0.48,-1.24,-1.02
-3.99,6.2,-7.7,17.91
6.98,2.96,3.54,20.04
-5.12,-6.51,-6.8,-21.74
1.2,9.17,-5.36,35.01
2.81,-1.36,-9.42,11.14
2.28,-6.05,1.84,-16.03
-5.88,5.05,6.17,-2.28
-8.75,-7.96,7.44,-48.65
-0.85,-4.75,7.25,-22.79
0.55,2.78,1.94,6.99
-3.04,6.91,2.35,11.87
6.27,4.12,-4.05,28.79
-7.32,-7.64,-3.89,-33.81
-6.34,3.87,0.22,-1.53
-2.33,-6.28,2.71,-26.08
3.87,2.91,10.0,5.92
-7.19,-3.71,-0.98,-24.73
-8.93,-2.82,-9.81,-15.91
9.28,0.11,-0.1,19.69
3.69,-1.69,6.8,-4.7
-9.38,5.22,-4.16,1.07
-4.5,0.75,-6.64,-0.9
5.32,0.99,-7.74,21.57
-7.72,5.5,6.47,-6.03
-9.17,4.38,0.93,-5.44
9.8,-7.95,6.6,-10.85
9.99,-1.01,-3.03,19.56
6.33,-1.22,9.88,-0.82
6.21,1.76,-2.99,20.33
4.22,2.66,-6.68,23.32
-5.86,-8.81,-2.98,-34.91
-4.38,0.78,-3.53,-3.01
-4.65,7.16,9.71,2.07
3.59,-8.1,9.26,-26.13
9.85,7.34,-7.46,48.09
7.32,-5.01,4.23,-4.22
3.52,-0.21,1.55,4.11
-4.63,-1.72,-0.96,-14.15
-8.14,0.31,-4.44,-11.68
8.73,-2.62,9.01,0.57
5.48,4.65,4.62,20.32
-0.83,3.28,-2.84,11.59
-5.64,-1.41,-5.76,-9.51
-4.63,6.57,-3.24,13.12
-0.29,-3.13,3.65,-13.92
-9.03,-8.01,5.68,-48.02
7.15,-1.17,-9.99,20.84
9.16,-5.95,3.77,-2.81
-6.82,8.65,-4.52,17.36
3.09,-4.99,-2.56,-5.98
-2.07,-3.89,3.99,-19.97
-5.32,3.11,4.07,-4.81
-7.35,-5.48,3.6,-34.74
-9.81,3.91,6.34,-13.71
-7.36,-8.58,-2.34,-38.16
4.62,-7.95,-3.73,-10.68
5.47,5.06,-7.34,33.28
9.86,-7.14,0.61,-1.59
-1.2,4.45,2.56,8.43
-6.97,-1.77,3.73,-22.84
-7.99,5.05,1.79,-2.78
-2.32,9.26,-3.71,27.11
-8.32,1.07,2.0,-15.12
2.15,5.58,3.81,17.65
-3.97,0.35,0.19,-7.68
4.96,-4.09,-8.91,7.56
-0.1,-7.75,-0.01,-24.18
1.88,0.57,9.55,-2.92
-7.36,7.22,1.37,5.47
-2.69,3.66,5.25,1.17
-9.67,-8.65,-4.76,-40.77
-9.2,-8.79,5.79,-51.26
0.02,-1.69,4.04,-9.1
-8.35,0.73,2.32,-16.9
0.23,-5.94,6.16,-23.1
0.73,-2.19,2.69,-7.42
-8.68,3.97,4.6,-10.7
6.93,-8.84,-8.28,-4.88
2.18,-3.81,4.83,-11.68
4.81,-7.61,4.16,-17.46
9.06,0.46,5.66,13.55
4.42,-6.66,-7.46,-3.6
7.73,5.43,-9.41,40.77
6.14,-4.56,-8.72,7.17
-8.46,-0.9,-2.8,-17.46
-0.01,1.34,-2.65,6.64
1.48,4.46,-5.43,22.0
0.18,-9.12,7.26,-34.24
-2.34,-7.0,8.62,-33.74
7.15,1.06,8.28,9.17
-3.56,-1.67,4.41,-17.06
-4.57,-8.44,-2.54,-33.0
-6.41,6.09,9.63,-4.19
9.08,-8.62,-0.7,-7.19
-3.45,1.06,-9.84,7.07
-5.99,1.28,-3.92,-4.62
1.83,-0.13,5.45,-2.57
-6.09,8.01,5.21,6.64
-1.8,-5.34,-3.07,-16.49
6.79,7.54,9.02,27.91
6.98,4.54,-7.92,35.51
0.6,-5.24,-0.16,-12.78
4.23,-8.14,8.43,-23.76
7.95,0.4,4.02,12.14
-8.3,-8.09,-7.33,-32.57
6.4,-8.5,1.36,-15.24
-5.26,-4.78,-3.7,-20.65
6.02,4.01,4.71,19.19
-8.51,-5.95,5.6,-40.11
1.69,-6.89,-6.71,-11.08
0.72,9.29,-5.85,35.27
-3.83,-4.7,-7.6,-13.74
6.53,3.94,-9.19,34.71
6.72,-3.44,-8.18,11.31
0.27,3.54,-4.8,16.43
9.81,-9.38,-1.91,-7.4
-5.0,-0.76,6.08,-18.11
-7.2,-9.76,6.61,-50.03
6.47,-2.56,2.61,2.62
2.89,1.65,-4.82,15.59
-8.71,8.05,-1.13,7.76
-7.42,8.1,6.59,2.8
-0.78,-6.64,1.48,-22.83
6.43,-2.1,-9.41,15.84
-5.71,-6.26,-4.4,-26.08
7.67,-9.31,2.38,-14.96
-1.76,1.01,-8.78,8.71
-4.4,-7.26,-6.01,-24.11
2.62,6.04,5.9,17.06
9.79,5.64,-2.82,38.77
8.25,0.05,-2.23,18.72
-6.4,-3.62,-5.62,-17.35
-8.83,9.83,0.59,10.71
5.34,9.99,9.48,31.76
-4.67,6.33,8.35,1.73
-8.88,9.93,-5.61,18.15
-2.9,6.78,6.9,6.91
-6.48,1.85,6.12,-13.89
-9.44,4.01,8.95,-16.85
1.27,1.26,-6.24,13.59
-0.16,-3.82,-0.19,-11.67
-8.19,-5.35,-5.62,-26.83
8.36,-5.97,-7.39,6.2
4.34,8.38,6.89,26.88
1.73,8.34,5.49,23.08
6.93,7.21,9.21,25.44
-2.09,-7.98,-3.96,-23.31
-7.27,-6.85,8.97,-43.73
2.98,-6.52,9.37,-24.2
3.87,8.58,5.74,27.85
-6.49,-3.86,3.77,-27.67
-7.45,4.58,8.98,-9.67
9.89,9.3,-9.35,56.87
2.05,8.42,9.35,20.13
8.73,-7.19,4.91,-8.39
-5.24,9.65,-6.64,25.27
4.18,2.78,7.73,8.83
-1.07,-4.7,-5.01,-10.88
-7.84,-9.97,-2.28,-43.15
4.65,9.38,7.69,29.26
0.92,-7.97,-0.41,-21.64
7.28,3.02,3.74,19.98
6.92,-4.1,-3.63,5.34
9.03,-8.52,-6.6,-1.48
0.94,7.96,-8.14,34.47
1.88,2.27,-0.35,12.09
-6.7,7.8,-6.86,17.09
-7.97,-5.89,-6.2,-27.67
4.6,-4.69,-4.37,-1.26
-5.25,-9.01,1.44,-38.82
-2.78,-1.45,-4.11,-6.04
3.24,2.0,-6.01,18.79
-4.16,-8.36,6.88,-40.23
-3.83,-2.05,-0.22,-13.71
0.88,-6.3,7.71,-25.04
-2.61,-1.08,-4.73,-4.08
-4.63,-8.77,5.04,-40.53
3.35,-8.29,-3.12,-16.33
1.79,1.07,6.82,-0.37
6.37,-1.63,0.71,7.52
7.63,-0.47,-8.42,21.85
8.06,4.29,0.04,29.68
3.55,2.41,-7.59,21.39
5.14,-6.54,9.69,-18.13
-7.48,-1.53,9.77,-29.48
-1.29,9.95,2.54,24.92
8.22,8.28,-8.66,49.61
-2.24,-2.05,-3.48,-7.24
