a,b,product
45,42,1890
30,29,870
40,17,680
38,42,1596
0,21,0
2,41,82
39,28,1092
20,46,920
46,36,1656
8,13,104
3,41,123
18,20,360
3,47,141
4,35,140
38,24,912
5,25,125
16,11,176
15,49,735
25,5,125
1,13,13
10,24,240
49,25,1225
18,41,738
48,41,1968
9,7,63
19,31,589
27,47,1269
19,43,817
38,8,304
22,42,924
6,23,138
32,12,384
31,28,868
24,30,720
17,36,612
38,27,1026
5,48,240
27,23,621
39,11,429
27,40,1080
27,5,135
2,32,64
21,29,609
43,14,602
41,43,1763
45,9,405
31,33,1023
40,41,1640
33,5,165
18,29,522
27,5,135
30,19,570
9,8,72
43,19,817
15,33,495
27,18,486
36,3,108
35,4,140
2,32,64
6,32,192
27,26,702
6,29,174
42,46,1932
36,16,576
22,16,352
37,5,185
49,32,1568
1,7,7
47,42,1974
29,11,319
50,11,550
25,2,50
5,26,130
45,19,855
20,37,740
46,29,1334
48,42,2016
28,39,1092
16,21,336
11,13,143
11,5,55
47,38,1786
16,43,688
6,27,162
34,1,34
0,25,0
7,0,0
10,41,410
30,29,870
44,25,1100
42,47,1974
38,46,1748
31,19,589
39,39,1521
23,44,1012
43,44,1892
43,25,1075
19,5,95
8,8,64
0,12,0
7,1,7
44,12,528
1,13,13
30,41,1230
9,41,369
15,27,405
40,50,2000
34,12,408
5,19,95
49,29,1421
9,30,270
27,1,27
7,10,70
9,47,423
44,28,1232
31,30,930
1,28,28
37,15,555
12,18,216
36,25,900
3,21,63
0,6,0
40,45,1800
27,26,702
31,47,1457
37,38,1406
46,35,1610
18,2,36
31,25,775
31,32,992
37,46,1702
39,43,1677
31,14,434
45,3,135
33,1,33
27,36,972
20,35,700
4,17,68
41,26,1066
30,7,210
31,39,1209
41,22,902
28,44,1232
27,1,27
10,18,180
46,12,552
30,22,660
28,14,392
32,14,448
37,43,1591
21,38,798
45,42,1890
29,8,232
18,46,828
45,24,1080
26,43,1118
41,47,1927
23,50,1150
30,10,300
39,13,507
18,44,792
47,5,235
42,30,1260
8,11,88
12,10,120
38,31,1178
6,50,300
26,31,806
19,15,285
13,35,455
3,1,3
22,16,352
22,43,946
10,11,110
32,2,64
4,21,84
27,7,189
39,14,546
7,35,245
14,31,434
16,21,336
50,22,1100
49,2,98
49,35,1715
17,9,153
44,32,1408
38,42,1596
6,45,270
3,28,84
29,48,1392
7,6,42
50,39,1950
39,50,1950
6,35,210
2,32,64
6,10,60
40,7,280
13,23,299
10,46,460
18,45,810
28,48,1344
32,31,992
46,6,276
9,41,369
23,21,483
8,7,56
12,28,336
26,49,1274
49,0,0
15,30,450
21,18,378
32,10,320
5,17,85
23,45,1035
48,26,1248
23,40,920
42,15,630
9,48,432
48,33,1584
26,50,1300
14,8,112
27,26,702
26,29,754
33,50,1650
43,23,989
1,28,28
9,49,441
0,45,0
33,4,132
5,21,105
20,25,500
49,10,490
27,3,81
25,48,1200
2,42,84
41,9,369
36,3,108
40,45,1800
42,33,1386
18,26,468
25,43,1075
44,35,1540
19,46,874
47,20,940
22,0,0
17,33,561
39,9,351
44,25,1100
28,41,1148
13,34,442
39,50,1950
39,41,1599
28,44,1232
22,50,1100
41,25,1025
49,12,588
19,5,95
2,34,68
21,24,504
46,46,2116
47,8,376
33,34,1122
18,13,234
5,32,160
35,19,665
33,21,693
48,40,1920
10,1,10
1,50,50
34,37,1258
16,15,240
49,19,931
46,27,1242
32,7,224
46,3,138
23,16,368
40,32,1280
22,7,154
3,48,144
41,7,287
28,19,532
36,47,1692
0,29,0
21,15,315
47,37,1739
36,45,1620
40,42,1680
34,38,1292
14,22,308
19,18,342
42,50,2100
45,36,1620
43,8,344
45,24,1080
33,47,1551
15,6,90
20,33,660
37,12,444
49,23,1127
29,6,174
9,45,405
27,26,702
5,5,25
3,27,81
8,30,240
13,28,364
4,23,92
43,33,1419
25,37,925
35,33,1155
49,25,1225
16,37,592
31,40,1240
27,28,756
44,31,1364
46,26,1196
10,9,90
32,8,256
31,45,1395
29,8,232
45,32,1440
33,7,231
44,13,572
29,30,870
2,47,94
10,35,350
23,7,161
38,26,988
7,7,49
23,36,828
18,2,36
33,9,297
7,23,161
19,23,437
19,18,342
31,1,31
50,9,450
9,50,450
37,26,962
3,19,57
18,13,234
11,47,517
31,0,0
7,35,245
22,4,88
2,26,52
30,36,1080
19,36,684
28,21,588
50,24,1200
30,46,1380
38,8,304
48,8,384
32,40,1280
29,48,1392
28,42,1176
28,9,252
46,20,920
5,39,195
42,39,1638
26,24,624
14,25,350
21,34,714
2,42,84
28,47,1316
17,41,697
5,10,50
45,1,45
36,40,1440
50,49,2450
45,19,855
35,41,1435
7,41,287
35,5,175
12,39,468
34,36,1224
48,3,144
36,33,1188
12,48,576
30,32,960
1,7,7
42,34,1428
11,1,11
17,50,850
13,15,195
45,37,1665
28,5,140
34,38,1292
20,25,500
37,2,74
31,1,31
21,27,567
11,26,286
1,33,33
20,24,480
16,5,80
7,6,42
34,10,340
18,9,162
11,16,176
49,5,245
9,19,171
26,43,1118
10,3,30
39,20,780
11,1,11
45,3,135
19,24,456
6,20,120
9,26,234
20,16,320
24,7,168
3,12,36
15,48,720
38,37,1406
15,31,465
32,48,1536
32,24,768
7,17,119
3,20,60
29,35,1015
26,4,104
30,1,30
26,40,1040
14,1,14
17,35,595
37,43,1591
6,15,90
48,35,1680
41,50,2050
8,19,152
36,26,936
28,5,140
40,32,1280
13,50,650
9,23,207
34,10,340
50,15,750
34,27,918
35,28,980
2,0,0
29,39,1131
18,41,738
10,0,0
3,30,90
17,38,646
16,43,688
24,22,528
40,13,520
37,32,1184
18,2,36
10,47,470
34,36,1224
4,19,76
5,25,125
44,7,308
8,46,368
35,17,595
27,13,351
39,32,1248
20,43,860
21,40,840
16,48,768
45,28,1260
17,15,255
42,20,840
21,13,273
29,38,1102
21,1,21
44,8,352
41,0,0
38,30,1140
0,0,0
43,11,473
26,35,910
44,45,1980
31,48,1488
25,34,850
5,50,250
41,41,1681
4,34,136
1,42,42
28,43,1204
7,22,154
24,38,912
22,24,528
11,49,539
44,0,0
7,29,203
23,12,276
28,0,0
14,47,658
1,48,48
17,43,731
45,22,990
12,5,60
39,40,1560
19,45,855
14,14,196
31,23,713
2,17,34
31,45,1395
45,38,1710
13,0,0
12,40,480
25,7,175
17,36,612
32,31,992
10,35,350
12,42,504
47,36,1692
43,43,1849
38,36,1368
11,4,44
37,8,296
47,4,188
8,16,128
36,14,504
33,46,1518
50,17,850
12,43,516
1,44,44
43,34,1462
39,16,624
43,35,1505
29,0,0
27,41,1107
43,41,1763
3,20,60
27,26,702
17,7,119
43,33,1419
29,31,899
23,33,759
48,2,96
46,14,644
3,17,51
26,34,884
28,20,560
0,25,0
12,21,252
5,36,180
1,47,47
14,44,616
27,4,108
15,12,180
10,21,210
19,4,76
40,40,1600
6,1,6
30,27,810
1,37,37
40,21,840
16,15,240
6,30,180
15,21,315
3,21,63
33,50,1650
15,4,60
49,38,1862
39,28,1092
48,6,288
40,28,1120
37,7,259
5,3,15
2,24,48
20,44,880
4,50,200
8,3,24
28,3,84
19,39,741
40,27,1080
4,6,24
43,3,129
35,3,105
18,24,432
25,6,150
39,48,1872
26,14,364
38,50,1900
42,39,1638
0,29,0
24,29,696
50,27,1350
39,39,1521
6,21,126
41,43,1763
50,1,50
29,33,957
21,37,777
12,6,72
6,0,0
38,45,1710
4,37,148
50,12,600
36,8,288
40,32,1280
16,22,352
26,30,780
46,39,1794
28,11,308
15,8,120
2,3,6
8,19,152
37,27,999
32,41,1312
48,22,1056
19,37,703
34,49,1666
9,9,81
30,19,570
38,21,798
18,23,414
0,33,0
37,42,1554
43,9,387
3,15,45
32,35,1120
3,27,81
22,12,264
12,40,480
12,50,600
4,21,84
12,42,504
30,44,1320
44,29,1276
38,44,1672
21,37,777
36,21,756
39,19,741
26,21,546
10,6,60
29,50,1450
2,31,62
14,0,0
40,14,560
44,14,616
29,39,1131
13,15,195
30,47,1410
49,21,1029
47,24,1128
13,25,325
11,0,0
23,0,0
4,22,88
1,35,35
7,9,63
18,28,504
12,40,480
37,48,1776
23,2,46
1,12,12
12,18,216
11,14,154
16,46,736
11,21,231
35,15,525
11,12,132
1,11,11
16,6,96
1,43,43
8,24,192
41,50,2050
7,21,147
13,19,247
29,15,435
23,23,529
42,10,420
33,39,1287
27,45,1215
4,7,28
9,8,72
50,12,600
12,34,408
24,44,1056
23,20,460
38,27,1026
40,15,600
2,48,96
39,37,1443
12,34,408
18,50,900
9,20,180
15,3,45
40,50,2000
17,8,136
32,37,1184
31,13,403
46,5,230
50,30,1500
50,42,2100
39,4,156
10,32,320
24,48,1152
41,48,1968
32,23,736
31,33,1023
29,11,319
20,45,900
23,33,759
44,30,1320
45,31,1395
30,17,510
37,25,925
40,50,2000
37,41,1517
2,13,26
14,12,168
28,15,420
25,13,325
19,27,513
24,36,864
10,23,230
16,35,560
5,8,40
48,5,240
18,28,504
33,22,726
14,37,518
2,29,58
32,39,1248
21,27,567
28,29,812
27,26,702
23,31,713
20,17,340
24,1,24
11,28,308
14,16,224
41,4,164
22,5,110
18,32,576
32,34,1088
41,5,205
50,17,850
14,6,84
7,4,28
23,2,46
34,12,408
21,12,252
43,21,903
16,19,304
47,49,2303
43,17,731
12,45,540
38,8,304
48,45,2160
47,34,1598
16,0,0
49,19,931
18,22,396
50,25,1250
25,37,925
48,41,1968
0,30,0
41,32,1312
48,9,432
25,14,350
14,46,644
47,13,611
30,14,420
33,37,1221
50,35,1750
48,29,1392
46,29,1334
21,50,1050
5,20,100
12,27,324
49,44,2156
26,13,338
28,28,784
35,1,35
23,8,184
36,8,288
19,47,893
0,31,0
42,22,924
21,14,294
26,27,702
43,48,2064
25,48,1200
49,44,2156
34,19,646
20,37,740
1,36,36
50,2,100
8,9,72
21,36,756
40,38,1520
38,36,1368
25,24,600
13,25,325
4,34,136
24,12,288
30,6,180
21,36,756
28,40,1120
19,5,95
10,6,60
43,35,1505
11,2,22
44,38,1672
31,1,31
11,12,132
4,24,96
18,13,234
14,18,252
42,33,1386
4,29,116
3,23,69
33,0,0
10,20,200
26,25,650
10,7,70
8,34,272
26,30,780
47,4,188
24,13,312
8,13,104
19,27,513
45,42,1890
30,10,300
38,36,1368
19,37,703
12,32,384
45,43,1935
29,17,493
12,0,0
9,28,252
4,25,100
38,15,570
33,21,693
36,31,1116
29,29,841
36,2,72
47,5,235
18,41,738
29,22,638
44,45,1980
50,19,950
25,39,975
11,26,286
15,11,165
39,46,1794
27,29,783
24,42,1008
11,44,484
36,6,216
25,44,1100
2,15,30
10,17,170
40,34,1360
18,42,756
4,44,176
46,46,2116
13,31,403
26,48,1248
35,7,245
23,4,92
48,6,288
32,49,1568
49,20,980
26,28,728
10,16,160
13,32,416
2,29,58
1,4,4
40,44,1760
43,47,2021
29,24,696
21,47,987
25,12,300
25,2,50
0,16,0
7,45,315
8,20,160
42,47,1974
29,31,899
29,4,116
5,35,175
42,15,630
45,28,1260
8,30,240
17,10,170
10,1,10
38,6,228
11,18,198
7,34,238
47,25,1175
10,4,40
42,48,2016
0,43,0
17,9,153
28,22,616
11,13,143
45,2,90
43,34,1462
13,28,364
44,3,132
40,33,1320
41,42,1722
45,42,1890
6,24,144
44,19,836
28,3,84
38,0,0
3,49,147
24,49,1176
12,15,180
23,15,345
12,5,60
1,26,26
1,0,0
21,12,252
43,42,1806
4,14,56
6,42,252
10,46,460
10,2,20
26,32,832
6,20,120
20,35,700
40,12,480
39,13,507
34,25,850
27,7,189
14,13,182
6,22,132
20,11,220
0,25,0
41,20,820
0,24,0
13,29,377
14,4,56
42,17,714
41,39,1599
23,2,46
4,13,52
26,19,494
49,38,1862
31,6,186
45,34,1530
50,36,1800
10,16,160
6,38,228
20,40,800
44,24,1056
43,49,2107
44,8,352
21,11,231
40,48,1920
44,20,880
42,30,1260
4,21,84
1,38,38
37,28,1036
24,32,768
40,47,1880
14,32,448
37,45,1665
0,14,0
1,39,39
48,7,336
19,15,285
47,27,1269
48,15,720
39,5,195
3,8,24
23,31,713
18,12,216
9,24,216
13,41,533
2,15,30
46,38,1748
28,47,1316
21,8,168
17,20,340
41,50,2050
48,2,96
33,50,1650
26,41,1066
18,48,864
1,14,14
46,21,966
21,15,315
13,34,442
3,42,126
15,43,645
44,46,2024
14,38,532
24,33,792
20,11,220
28,40,1120
0,4,0
31,4,124
12,3,36
40,9,360
13,8,104
5,11,55
37,35,1295
50,13,650
15,32,480
5,27,135
46,29,1334
19,10,190
46,12,552
15,27,405
11,38,418
15,19,285
18,36,648
28,40,1120
12,17,204
50,30,1500
5,23,115
25,24,600
10,30,300
28,27,756
32,39,1248
47,27,1269
48,9,432
50,30,1500
1,48,48
24,27,648
5,48,240
19,38,722
34,9,306
35,46,1610
11,16,176
24,29,696
19,29,551
18,24,432
35,38,1330
30,4,120
21,8,168
45,30,1350
12,9,108
12,0,0
0,32,0
46,46,2116
23,31,713
25,26,650
25,47,1175
23,24,552
31,19,589
41,37,1517
4,26,104
2,7,14
24,36,864
10,12,120
48,27,1296
16,49,784
48,46,2208
22,32,704
45,31,1395
40,44,1760
23,44,1012
3,41,123
24,27,648
47,15,705
15,30,450
2,23,46
40,45,1800
43,1,43
44,42,1848
41,9,369
16,38,608
29,43,1247
9,16,144
15,38,570
37,42,1554
10,0,0
7,49,343
5,41,205
45,24,1080
25,45,1125
37,5,185
33,12,396
27,10,270
27,16,432
44,19,836
32,34,1088
42,24,1008
37,19,703
46,26,1196
48,46,2208
5,6,30
40,36,1440
49,22,1078
9,17,153
47,13,611
47,25,1175
44,19,836
0,10,0
31,0,0
6,4,24
49,44,2156
26,33,858
26,41,1066
18,46,828
27,10,270
11,23,253
11,45,495
8,12,96
31,11,341
32,7,224
28,36,1008
13,11,143
12,3,36
47,11,517
48,12,576
16,26,416
28,40,1120
39,6,234
40,10,400
5,18,90
5,24,120
7,17,119
4,21,84
1,37,37
15,30,450
31,43,1333
48,6,288
0,3,0
17,48,816
0,42,0
37,50,1850
2,6,12
13,33,429
50,0,0
24,38,912
33,48,1584
17,31,527
30,48,1440
21,38,798
27,21,567
23,43,989
21,20,420
15,23,345
42,25,1050
24,39,936
3,22,66
21,6,126
0,29,0
44,25,1100
46,8,368
1,38,38
7,33,231
17,44,748
48,15,720
23,28,644
39,43,1677
42,30,1260
32,26,832
42,12,504
0,40,0
20,1,20
40,23,920
2,47,94
20,43,860
28,14,392
38,31,1178
25,47,1175
39,50,1950
5,22,110
27,30,810
42,44,1848
6,46,276
24,18,432
38,12,456
45,9,405
33,36,1188
50,45,2250
32,2,64
8,31,248
50,5,250
19,43,817
35,29,1015
10,28,280
7,30,210
42,34,1428
15,15,225
13,10,130
48,42,2016
44,5,220
6,27,162
45,1,45
10,20,200
24,49,1176
17,14,238
46,16,736
42,30,1260
42,7,294
42,8,336
34,40,1360
46,31,1426
5,50,250
44,21,924
14,36,504
49,38,1862
4,41,164
21,24,504
45,47,2115
47,46,2162
24,41,984
41,50,2050
35,27,945
14,14,196
16,7,112
18,5,90
7,5,35
21,47,987
37,12,444
47,7,329
36,23,828
8,20,160
24,36,864
47,0,0
19,3,57
37,34,1258
12,24,288
27,20,540
49,23,1127
43,50,2150
8,33,264
42,38,1596
37,14,518
6,25,150
0,34,0
29,20,580
9,18,162
14,31,434
43,29,1247
9,38,342
18,9,162
47,42,1974
44,2,88
38,20,760
19,32,608
44,7,308
17,45,765
36,30,1080
40,13,520
31,18,558
45,24,1080
3,21,63
9,45,405
13,46,598
14,44,616
47,3,141
49,11,539
31,46,1426
25,19,475
42,10,420
1,35,35
25,21,525
27,43,1161
30,22,660
48,25,1200
25,4,100
33,46,1518
18,18,324
44,12,528
44,35,1540
25,6,150
8,20,160
48,50,2400
37,3,111
45,19,855
29,41,1189
10,36,360
8,28,224
44,30,1320
18,9,162
13,13,169
47,12,564
47,41,1927
0,23,0
46,36,1656
6,43,258
50,9,450
24,27,648
43,10,430
3,6,18
22,30,660
11,3,33
7,32,224
41,21,861
37,27,999
9,40,360
46,25,1150
15,2,30
7,15,105
25,31,775
19,44,836
38,11,418
41,47,1927
24,49,1176
44,50,2200
42,42,1764
5,49,245
29,41,1189
24,17,408
40,41,1640
28,23,644
0,7,0
7,5,35
7,31,217
41,42,1722
32,14,448
1,37,37
36,36,1296
30,17,510
44,47,2068
6,50,300
37,11,407
24,30,720
41,44,1804
27,19,513
36,8,288
6,20,120
4,45,180
50,34,1700
11,25,275
44,1,44
25,35,875
34,50,1700
33,31,1023
4,33,132
37,34,1258
45,50,2250
41,7,287
48,48,2304
13,42,546
7,11,77
38,44,1672
11,0,0
35,28,980
20,7,140
2,8,16
36,13,468
41,10,410
5,35,175
16,48,768
2,5,10
7,32,224
19,23,437
34,10,340
27,42,1134
0,15,0
19,2,38
33,50,1650
18,42,756
34,28,952
8,36,288
31,44,1364
20,33,660
22,38,836
34,32,1088
13,44,572
6,42,252
2,15,30
2,12,24
9,19,171
13,8,104
38,35,1330
13,37,481
22,17,374
8,46,368
39,27,1053
4,35,140
16,16,256
24,41,984
10,25,250
29,5,145
16,43,688
27,44,1188
9,34,306
13,4,52
40,46,1840
17,40,680
44,41,1804
12,45,540
23,36,828
42,41,1722
32,38,1216
10,26,260
9,20,180
50,27,1350
24,1,24
38,15,570
4,17,68
7,34,238
7,43,301
35,26,910
4,21,84
40,5,200
23,21,483
49,17,833
9,14,126
17,0,0
6,24,144
14,24,336
6,50,300
7,11,77
33,46,1518
19,37,703
31,6,186
33,22,726
44,36,1584
18,35,630
17,38,646
6,3,18
10,20,200
48,24,1152
11,22,242
47,43,2021
50,34,1700
35,38,1330
25,30,750
37,8,296
16,0,0
43,32,1376
45,9,405
42,8,336
9,24,216
36,47,1692
17,3,51
46,40,1840
23,45,1035
49,15,735
43,38,1634
26,45,1170
29,11,319
28,22,616
29,32,928
18,17,306
27,33,891
45,14,630
19,40,760
5,19,95
26,49,1274
20,5,100
40,5,200
4,46,184
15,5,75
10,36,360
3,5,15
47,18,846
35,31,1085
0,27,0
43,32,1376
46,8,368
30,31,930
32,43,1376
43,34,1462
44,7,308
25,0,0
39,12,468
47,0,0
45,27,1215
44,34,1496
47,22,1034
15,47,705
42,33,1386
43,38,1634
2,38,76
28,10,280
43,48,2064
33,14,462
11,4,44
23,8,184
32,22,704
3,27,81
31,24,744
10,23,230
7,21,147
43,15,645
34,49,1666
7,18,126
19,30,570
18,16,288
13,0,0
47,40,1880
36,25,900
13,19,247
41,32,1312
2,29,58
39,31,1209
3,22,66
0,39,0
29,21,609
19,22,418
6,0,0
22,46,1012
11,25,275
22,0,0
6,27,162
31,12,372
5,33,165
32,9,288
26,7,182
31,0,0
9,49,441
42,16,672
14,30,420
25,23,575
19,23,437
27,11,297
34,17,578
6,28,168
42,28,1176
10,8,80
22,47,1034
27,0,0
22,45,990
12,7,84
12,18,216
2,8,16
25,26,650
47,21,987
2,10,20
42,12,504
30,42,1260
17,7,119
26,31,806
35,31,1085
43,45,1935
8,20,160
48,48,2304
49,25,1225
32,46,1472
47,24,1128
8,7,56
6,50,300
1,8,8
9,22,198
32,0,0
49,43,2107
15,3,45
43,21,903
27,38,1026
47,0,0
27,30,810
18,18,324
31,5,155
48,27,1296
15,39,585
9,46,414
32,11,352
15,17,255
49,7,343
16,44,704
15,42,630
27,12,324
30,45,1350
50,6,300
44,46,2024
32,39,1248
11,12,132
37,40,1480
40,9,360
14,7,98
8,25,200
2,17,34
12,9,108
27,1,27
39,12,468
5,3,15
24,26,624
33,19,627
44,40,1760
14,14,196
21,27,567
30,3,90
32,27,864
41,3,123
19,7,133
17,23,391
17,22,374
45,26,1170
15,20,300
3,11,33
2,0,0
3,42,126
47,20,940
13,18,234
30,17,510
38,6,228
27,11,297
16,31,496
23,21,483
19,7,133
6,42,252
0,43,0
35,49,1715
8,21,168
23,47,1081
23,47,1081
49,37,1813
33,38,1254
23,15,345
41,17,697
13,37,481
24,5,120
6,8,48
40,47,1880
38,7,266
2,37,74
41,12,492
12,45,540
28,6,168
4,34,136
39,21,819
19,46,874
30,48,1440
12,34,408
46,9,414
2,8,16
12,26,312
35,45,1575
16,48,768
35,22,770
23,28,644
40,45,1800
7,27,189
4,30,120
26,33,858
32,50,1600
1,10,10
38,17,646
44,8,352
18,2,36
36,3,108
50,44,2200
12,47,564
25,31,775
43,34,1462
32,4,128
10,28,280
48,32,1536
24,35,840
49,24,1176
25,38,950
17,13,221
11,0,0
10,36,360
13,37,481
44,0,0
50,32,1600
29,32,928
45,46,2070
33,16,528
19,14,266
18,45,810
17,35,595
7,10,70
14,2,28
34,15,510
18,2,36
40,9,360
17,8,136
17,50,850
3,41,123
15,13,195
34,7,238
0,41,0
22,40,880
38,23,874
20,5,100
45,35,1575
16,46,736
8,26,208
39,18,702
20,3,60
40,0,0
22,14,308
46,17,782
11,16,176
1,34,34
42,49,2058
49,37,1813
6,46,276
47,44,2068
24,41,984
16,40,640
40,38,1520
35,13,455
28,14,392
20,17,340
13,37,481
40,48,1920
25,9,225
28,14,392
46,46,2116
27,23,621
9,30,270
5,31,155
11,29,319
11,11,121
12,36,432
31,46,1426
11,41,451
18,1,18
19,10,190
11,25,275
43,38,1634
12,4,48
9,4,36
27,15,405
29,41,1189
25,6,150
46,33,1518
8,46,368
48,0,0
38,6,228
24,24,576
1,7,7
0,48,0
41,2,82
8,15,120
49,5,245
17,9,153
40,38,1520
0,50,0
0,50,0
6,34,204
47,21,987
45,5,225
12,8,96
30,48,1440
36,28,1008
10,19,190
21,30,630
9,15,135
3,34,102
44,17,748
40,34,1360
7,1,7
2,6,12
34,18,612
6,32,192
26,9,234
0,14,0
1,14,14
27,24,648
9,22,198
41,18,738
14,43,602
24,43,1032
45,7,315
31,10,310
7,14,98
6,18,108
22,4,88
39,21,819
7,23,161
5,2,10
38,9,342
11,27,297
33,21,693
38,11,418
43,27,1161
9,42,378
43,19,817
39,18,702
22,6,132
17,31,527
42,23,966
16,45,720
4,50,200
0,9,0
49,41,2009
9,20,180
9,24,216
28,46,1288
50,50,2500
30,4,120
7,36,252
27,46,1242
17,9,153
5,20,100
8,11,88
49,24,1176
22,20,440
31,27,837
30,44,1320
26,38,988
50,40,2000
21,8,168
41,15,615
24,26,624
35,31,1085
34,34,1156
31,34,1054
34,14,476
24,5,120
37,45,1665
26,33,858
36,49,1764
44,47,2068
14,44,616
5,15,75
23,0,0
13,1,13
23,35,805
30,8,240
7,3,21
22,23,506
49,8,392
18,29,522
9,35,315
26,15,390
13,14,182
3,47,141
8,7,56
44,45,1980
9,24,216
46,1,46
44,27,1188
23,3,69
44,6,264
42,37,1554
4,30,120
38,10,380
1,9,9
23,9,207
5,15,75
4,0,0
36,26,936
9,48,432
11,30,330
47,8,376
47,33,1551
44,19,836
30,26,780
46,21,966
28,50,1400
41,44,1804
0,18,0
7,9,63
3,41,123
2,38,76
48,11,528
32,10,320
0,25,0
27,43,1161
29,35,1015
45,16,720
36,32,1152
19,45,855
14,27,378
10,17,170
5,33,165
24,8,192
47,13,611
25,39,975
3,14,42
25,11,275
47,35,1645
38,4,152
44,29,1276
30,20,600
41,41,1681
25,24,600
10,3,30
23,41,943
27,12,324
17,6,102
6,4,24
23,38,874
49,21,1029
1,15,15
18,10,180
34,6,204
4,13,52
38,0,0
48,19,912
12,35,420
12,40,480
2,15,30
17,5,85
36,36,1296
2,36,72
50,30,1500
2,3,6
20,5,100
19,0,0
22,48,1056
18,25,450
32,12,384
20,48,960
25,46,1150
22,8,176
44,43,1892
6,21,126
26,47,1222
32,6,192
32,49,1568
9,1,9
37,50,1850
24,30,720
37,2,74
18,10,180
9,43,387
29,5,145
40,5,200
45,14,630
13,43,559
41,9,369
49,45,2205
10,32,320
33,46,1518
38,41,1558
33,49,1617
21,28,588
50,8,400
21,18,378
23,39,897
27,2,54
45,49,2205
43,24,1032
15,13,195
39,38,1482
4,9,36
36,40,1440
31,6,186
0,9,0
49,19,931
35,50,1750
5,31,155
6,29,174
20,10,200
18,10,180
4,17,68
36,23,828
22,5,110
4,11,44
45,49,2205
29,16,464
30,16,480
48,28,1344
41,8,328
7,36,252
31,2,62
23,18,414
25,26,650
39,43,1677
8,28,224
23,32,736
39,20,780
23,5,115
43,26,1118
32,28,896
16,43,688
2,39,78
41,3,123
47,50,2350
15,44,660
35,0,0
9,6,54
18,24,432
10,36,360
25,4,100
14,24,336
29,42,1218
5,22,110
29,29,841
41,34,1394
29,6,174
5,11,55
46,6,276
25,49,1225
27,12,324
25,21,525
4,20,80
21,38,798
31,13,403
44,47,2068
30,7,210
17,29,493
2,34,68
9,30,270
9,40,360
13,20,260
