x,y
9.31,105.75
-9.54,73.26
4.56,29.67
4.01,23.08
-8.4,54.99
-8.72,60.0
7.57,73.22
-2.06,1.05
5.3,40.37
-6.89,35.08
3.1,17.46
-5.05,15.84
-4.32,10.65
6.77,59.99
-9.43,70.04
-3.5,4.55
-0.48,1.5
-4.55,12.41
-1.1,1.53
-6.46,29.52
1.95,7.74
1.28,4.16
0.47,1.61
-3.06,3.58
0.79,3.57
-2.68,1.81
-4.8,14.44
6.31,53.45
6.96,62.74
-9.83,78.9
8.44,90.19
-9.82,77.42
-1.39,-0.04
-9.86,79.2
-2.53,1.25
-2.1,1.89
-6.73,32.75
-2.43,1.05
-4.74,13.33
5.29,39.91
8.2,85.18
-4.31,9.54
4.86,34.71
7.07,64.16
-6.35,28.27
2.35,12.6
-4.56,12.21
-9.61,73.68
-9.01,63.53
-7.95,48.16
-4.62,12.75
-5.34,17.26
-6.99,34.97
-3.77,7.71
5.99,49.98
5.83,46.63
-3.4,7.12
-8.88,60.05
5.51,43.4
-6.16,27.11
6.83,62.08
-7.56,41.32
5.36,40.46
-1.14,1.74
4.75,34.15
5.42,41.45
0.42,3.14
3.63,21.31
-3.76,6.99
-9.16,67.85
8.75,94.3
2.77,14.11
-6.03,26.82
-5.64,20.23
-7.74,44.83
-6.65,31.27
-4.48,13.4
-9.82,79.0
-9.16,66.82
1.92,7.42
-2.57,2.96
-8.17,51.72
2.37,14.45
2.5,10.82
-8.8,59.88
5.83,45.42
-7.48,42.3
5.77,48.64
5.13,37.94
-6.14,25.41
3.78,22.51
7.97,80.88
-0.29,-0.27
3.94,24.72
-6.2,27.4
4.65,32.77
-4.49,13.26
1.09,2.43
-8.62,58.53
-4.73,14.61
-2.66,4.18
-2.42,2.02
-6.29,29.94
5.52,42.74
-5.22,17.54
0.78,1.73
-2.25,0.4
1.03,3.94
2.26,10.0
-7.79,47.39
0.46,3.87
-7.4,41.73
7.47,72.08
-8.02,50.38
1.42,6.61
0.52,1.06
4.03,25.27
2.12,10.69
-8.58,58.08
-0.17,0.4
7.8,79.01
-8.79,61.55
1.16,5.63
-2.62,2.23
4.17,27.08
-9.19,66.37
-8.59,56.81
9.21,106.51
-8.06,49.65
-6.21,25.93
0.52,2.32
-6.42,30.78
4.98,35.35
2.77,14.45
-2.84,1.96
7.66,75.38
-6.66,32.46
-3.25,5.98
-6.84,35.19
-2.95,3.79
-3.7,8.17
-2.57,2.42
5.28,37.98
2.17,10.73
1.26,5.49
8.52,92.29
-4.92,16.42
-2.06,0.86
4.53,31.92
0.35,1.68
9.87,117.89
-5.56,21.59
7.11,67.61
3.79,23.2
-4.48,10.91
8.52,90.21
-6.91,35.84
-7.23,39.03
-2.66,2.12
6.22,51.77
-8.16,49.46
4.69,33.69
4.47,30.08
6.51,55.81
3.79,21.01
1.9,7.4
-3.99,8.78
-8.43,53.9
-8.88,62.22
6.34,52.96
-1.67,1.81
-5.47,18.49
3.06,16.36
5.55,42.81
-2.35,1.72
0.8,3.51
-7.01,35.41
-8.99,63.83
4.63,30.85
1.9,9.09
0.09,1.33
-2.11,2.05
-7.36,41.58
-9.01,64.81
-2.02,2.06
5.48,42.59
-7.39,41.68
-0.24,1.54
3.04,16.78
4.71,33.91
-5.08,18.21
-3.53,7.15
8.48,91.13
-1.53,1.08
-3.03,3.54
-9.52,73.8
-3.9,9.79
9.8,116.53
-1.16,0.21
6.36,54.41
-6.01,23.92
7.06,66.16
-7.75,47.86
8.53,91.64
7.38,70.3
3.88,23.66
-7.77,45.63
-5.82,23.3
0.76,3.45
-4.83,15.84
-0.34,0.37
3.98,24.25
-9.63,73.2
-9.13,65.36
-6.59,30.87
2.36,13.01
-8.94,62.97
-2.23,1.41
-4.57,13.62
7.29,67.55
-9.62,75.28
-5.38,18.11
-2.39,2.39
-3.69,7.17
7.34,68.93
0.01,0.89
-0.84,0.21
-5.05,16.31
0.59,2.03
-6.86,35.2
-3.06,3.41
-5.28,19.44
9.56,109.69
2.52,12.38
7.57,74.86
-9.41,69.56
1.1,4.3
7.94,80.49
3.14,17.98
9.21,104.76
2.25,10.06
-5.19,17.05
-6.95,37.56
-3.41,5.4
0.84,3.53
0.83,3.88
6.0,49.56
4.1,25.36
0.48,4.37
9.52,113.15
-7.1,39.25
-3.65,6.11
1.15,5.1
-3.65,6.86
7.59,73.54
7.6,72.27
-1.72,-0.4
8.68,94.27
7.88,79.58
5.58,42.97
-7.86,47.74
2.24,12.05
-4.66,12.73
-5.36,18.71
3.75,21.59
-0.47,1.46
0.05,-0.15
-2.52,1.35
7.04,64.1
-6.13,26.35
-9.36,69.91
-4.6,12.79
-1.74,0.4
5.16,34.97
-8.68,61.6
7.34,68.27
-0.2,0.14
-5.06,17.47
-1.9,2.38
-2.39,2.36
-3.74,6.25
1.88,7.23
0.5,3.5
0.41,0.75
-0.97,0.14
9.92,118.99
0.37,0.59
1.15,5.62
0.32,1.53
-4.18,9.88
-2.04,0.45
-0.77,1.82
-1.55,0.05
0.34,1.58
-7.16,38.47
4.45,28.74
-7.74,45.85
3.92,21.89
-7.29,38.63
-6.42,29.94
1.81,7.74
-0.91,-0.65
-5.0,15.22
5.93,45.99
4.37,29.19
-1.01,0.35
-2.74,2.05
5.82,46.37
0.23,2.44
-2.39,1.63
5.37,41.68
3.19,16.88
-7.0,36.43
4.24,27.0
-1.61,-0.25
-1.07,1.6
2.53,12.85
-5.94,24.76
2.45,11.88
7.11,66.88
0.87,5.57
-5.24,18.05
1.78,6.71
-8.41,55.06
2.0,9.04
2.4,12.82
1.15,4.77
-7.03,36.08
3.07,18.47
3.34,19.28
6.76,59.54
-9.02,66.47
-1.66,1.09
2.22,11.71
3.83,21.87
-6.45,28.71
-0.89,-2.02
-8.14,49.88
-4.01,8.4
-8.65,59.24
-1.45,-0.59
-7.31,39.56
3.89,23.73
0.49,3.43
3.92,23.84
4.59,30.94
2.58,13.96
3.77,22.66
8.68,94.52
2.18,10.04
-3.67,3.91
-2.92,3.17
-7.41,39.97
2.64,12.79
-0.15,1.31
4.17,27.97
9.59,112.37
2.51,12.32
-7.64,45.13
9.98,119.1
-1.72,-0.13
2.75,15.17
-9.77,77.16
5.8,47.02
-3.84,7.18
-9.88,78.82
3.72,21.41
2.32,12.37
-9.42,71.3
-3.24,5.82
3.45,21.35
2.91,14.39
-0.37,-1.07
0.74,1.52
-3.3,5.51
4.85,33.21
6.7,58.8
-3.69,8.77
0.72,3.35
5.99,50.33
7.76,75.14
-4.39,13.6
-9.38,71.62
6.85,61.48
1.42,4.82
7.29,69.58
5.03,36.12
-9.37,69.22
-1.72,-0.22
-0.96,0.02
9.01,100.38
-7.76,46.53
5.7,45.27
-1.12,-2.16
-9.5,71.08
-6.2,27.17
8.47,89.55
5.51,41.17
-7.13,38.86
8.76,93.92
3.53,21.6
-0.81,1.23
4.27,27.68
8.65,93.11
3.74,22.11
-0.66,-0.12
-9.08,63.83
-3.75,7.37
1.55,5.7
-3.58,8.61
-6.15,26.38
-1.18,0.9
-7.65,44.7
-9.69,76.16
2.46,11.29
-2.99,3.9
-3.63,7.9
-4.33,12.3
-5.1,18.05
-3.23,5.57
-1.13,0.79
3.51,21.16
-7.88,48.33
-6.42,29.73
1.92,6.94
3.99,23.85
2.33,10.38
4.26,29.37
3.42,16.9
5.11,36.77
-0.69,1.33
8.39,89.52
-0.63,-1.32
4.2,27.46
-0.69,0.18
7.22,68.28
2.34,12.01
3.99,24.38
3.3,18.99
-0.93,-2.0
-9.39,69.47
-0.78,0.19
-6.58,31.29
-7.45,40.25
-7.94,48.9
-3.48,4.52
2.99,16.25
-1.98,-0.23
-1.73,-0.38
9.48,108.96
-2.32,0.75
1.82,9.5
5.69,43.14
0.89,4.27
-5.28,18.11
8.62,92.2
1.48,4.82
-0.74,0.18
1.1,4.68
9.12,101.85
-8.61,59.33
5.43,42.5
-2.42,0.55
-8.19,51.75
6.34,55.52
2.72,12.43
-10.0,81.34
0.63,3.11
-2.2,0.86
3.63,21.13
-3.67,5.13
-3.91,7.52
8.87,94.81
-3.11,5.59
-8.21,54.91
-1.92,1.0
-7.45,41.34
0.98,4.84
-8.94,62.51
-2.82,1.54
7.22,68.06
4.04,24.85
-2.11,0.82
-2.37,2.77
0.9,3.02
-6.24,26.49
-2.31,3.42
-6.91,34.05
9.95,119.64
-8.57,56.83
-9.69,75.31
-1.27,-1.06
9.8,117.88
-1.68,1.19
-0.88,0.34
-1.49,-1.08
-6.4,27.89
-1.0,-0.07
-2.89,4.11
1.56,7.81
6.94,63.14
-1.78,1.78
0.92,1.83
1.36,7.62
4.1,26.88
3.81,23.88
-7.16,37.61
9.67,111.0
5.58,42.9
7.8,77.53
-8.23,50.65
9.21,104.53
-8.44,54.16
-3.75,6.23
-8.94,62.08
-0.62,1.59
0.25,-0.03
-1.58,0.65
9.21,104.49
-9.29,67.94
8.46,89.49
1.27,3.54
-8.77,59.77
-8.97,63.62
9.81,117.36
-4.26,9.32
-8.35,52.07
-4.44,11.76
-7.35,39.94
-9.72,77.98
-7.77,46.44
-6.98,36.95
-1.07,0.28
4.02,24.47
-0.3,1.1
-3.14,2.68
-8.31,54.86
-6.92,36.89
-0.08,2.56
-5.24,17.91
-1.2,-0.41
4.69,31.85
-3.1,3.36
-7.68,43.31
-6.65,31.24
4.92,35.55
5.05,35.65
4.11,25.91
-0.51,1.48
-9.76,78.34
8.54,89.58
9.24,105.33
3.66,23.88
2.75,14.63
9.12,100.38
7.17,67.68
-3.3,5.24
3.09,17.18
-2.18,1.63
4.69,30.73
1.77,7.98
3.81,23.99
-6.4,27.73
6.63,57.78
-9.76,77.12
-1.08,0.28
-5.61,21.12
-9.53,73.4
-8.16,52.62
6.71,58.89
9.01,99.19
-7.6,42.36
7.13,67.1
8.0,82.06
1.32,7.46
3.91,23.67
-4.93,13.15
2.78,14.77
8.45,89.13
8.07,83.31
5.4,40.7
-8.52,57.08
5.54,42.11
-8.8,61.44
9.11,102.11
-0.17,1.76
8.57,91.1
-0.16,0.31
-7.12,37.54
2.87,14.28
8.25,85.46
-8.54,56.4
1.43,5.9
7.93,80.83
-7.02,34.76
3.29,16.61
-4.67,12.8
1.49,4.14
0.31,2.8
-1.28,-0.35
6.88,62.43
0.8,1.52
-9.93,81.51
-0.36,-0.11
1.34,6.34
3.64,21.16
-1.99,-0.72
-8.19,49.83
0.69,3.25
-0.81,-0.06
5.33,39.7
-9.21,66.9
-2.32,2.3
7.93,81.18
2.61,12.77
2.66,13.72
4.71,33.02
4.39,29.56
1.86,7.82
0.81,3.3
-3.85,6.27
-1.01,-0.4
9.92,119.58
5.76,45.78
-9.14,67.6
3.35,20.15
-0.83,-0.86
-7.02,34.41
1.59,6.95
-7.17,37.94
3.08,14.45
-9.08,65.69
4.03,25.72
-9.0,64.45
-3.85,8.42
-6.59,30.19
1.82,8.15
-0.06,0.45
5.98,49.05
-1.48,2.01
6.23,53.77
-3.52,6.18
9.52,110.19
6.73,59.5
5.86,47.18
-3.29,3.91
-7.59,44.08
3.93,25.11
1.07,2.17
-9.19,67.93
-8.0,49.79
5.55,41.78
-9.69,75.4
-6.41,29.28
-8.22,50.92
-1.68,-1.24
6.15,51.34
-5.88,22.29
2.8,13.42
8.76,95.11
2.21,10.92
-0.0,1.15
9.01,98.98
-3.04,2.91
-9.91,79.43
0.6,3.06
-8.09,49.17
0.79,4.5
-5.61,21.44
-4.47,10.59
-6.13,26.76
9.37,106.08
-0.51,0.91
-9.14,67.59
2.9,14.98
-3.31,6.38
6.1,50.43
4.81,33.46
8.5,91.04
-0.3,2.06
-7.68,45.89
1.85,7.14
-3.48,6.63
-3.49,7.63
5.58,43.09
4.75,33.47
7.4,70.06
-0.58,0.67
-0.31,0.91
8.56,91.04
-0.9,-0.4
4.4,29.51
2.64,13.91
-7.46,41.63
3.84,23.93
7.03,64.68
-0.83,0.46
7.73,77.02
2.07,9.78
2.23,9.05
-6.6,33.29
-8.27,52.49
7.14,62.97
1.83,8.23
6.74,59.61
4.72,34.31
-5.07,15.95
7.84,79.31
1.84,8.84
-9.9,80.26
9.6,113.45
5.37,40.86
-9.33,68.27
5.96,48.22
6.43,54.5
1.17,4.93
-9.75,76.28
-7.35,37.89
-4.08,9.22
-0.4,0.01
-3.9,7.84
4.95,33.51
-9.51,70.77
7.48,72.39
-1.89,1.03
-0.71,-0.85
2.67,13.71
7.87,78.38
-3.34,6.51
-4.6,13.18
8.92,96.69
5.75,45.09
-8.38,55.66
-8.9,61.3
8.91,97.25
-7.78,44.11
-2.69,2.16
-6.49,29.49
1.18,6.19
-5.91,24.75
9.63,113.03
-0.43,0.81
8.78,93.43
-5.8,21.82
4.9,34.95
-4.65,14.24
3.6,21.1
-3.1,4.77
-0.28,0.01
4.2,26.95
3.57,20.07
2.42,11.53
6.0,50.71
8.82,95.82
-8.69,60.0
-8.4,54.06
7.96,79.68
-7.81,48.81
-4.48,11.73
7.5,71.14
0.41,1.41
9.39,107.35
0.83,3.97
-1.12,0.7
2.89,15.04
7.44,71.58
-5.35,20.28
-1.77,0.13
-3.14,4.04
1.87,7.53
3.94,25.0
-3.92,7.62
-7.36,40.6
-4.8,13.84
-0.32,2.15
-9.05,64.49
-2.94,3.18
8.48,90.04
4.24,26.87
6.79,63.31
3.86,23.33
-5.24,17.48
-9.18,66.7
-4.79,14.84
-6.31,27.95
-3.66,6.97
-3.12,3.62
-6.75,33.96
-3.97,9.71
-0.01,0.49
-7.09,36.24
-9.91,79.62
4.77,34.18
4.11,25.98
-0.52,-0.36
9.61,114.9
1.47,6.88
8.14,84.57
-1.16,-0.58
8.0,79.5
-7.21,37.75
-1.97,0.67
6.82,60.74
-8.9,62.56
2.83,14.06
8.71,93.93
-4.44,13.06
-1.09,0.18
3.43,20.65
-6.11,26.74
-3.64,5.08
8.17,82.62
-2.78,4.34
-2.61,4.16
-2.54,2.17
9.55,112.21
7.49,73.46
-1.12,0.86
9.85,118.0
6.11,49.77
9.41,106.48
-7.21,39.54
1.74,8.09
-0.51,0.59
7.35,70.09
9.2,104.01
5.12,38.33
8.29,86.85
-1.71,-0.97
5.1,36.67
-7.26,39.57
1.08,5.23
-9.16,67.46
-3.92,6.84
1.19,4.57
-9.95,80.16
-4.75,15.89
-0.55,-0.31
3.08,17.46
-0.16,0.06
3.76,22.67
-4.46,12.48
9.89,120.1
1.62,7.54
1.31,6.29
-0.48,-0.76
3.88,24.69
1.51,7.12
6.91,62.75
-3.61,7.11
7.57,73.84
-4.55,13.05
