a,b,sum
27,110,137
92,162,254
117,181,298
39,111,150
45,187,232
133,166,299
69,157,226
137,198,335
123,119,242
111,187,298
151,68,219
82,62,144
22,71,93
115,62,177
192,118,310
145,156,301
171,97,268
86,7,93
126,83,209
46,124,170
54,90,144
66,87,153
71,152,223
179,70,249
142,2,144
132,48,180
21,61,82
184,104,288
125,142,267
194,61,255
176,121,297
165,182,347
125,114,239
4,23,27
75,56,131
103,177,280
62,78,140
169,148,317
94,121,215
141,135,276
88,108,196
190,140,330
84,90,174
179,116,295
69,78,147
64,59,123
30,184,214
49,80,129
30,190,220
137,195,332
176,47,223
49,55,104
189,123,312
70,185,255
150,194,344
134,152,286
72,25,97
49,75,124
58,92,150
45,77,122
3,181,184
136,32,168
70,11,81
13,141,154
74,178,252
32,163,195
192,125,317
26,3,29
146,72,218
120,122,242
112,87,199
47,13,60
64,122,186
29,16,45
102,125,227
18,147,165
161,175,336
13,38,51
38,144,182
77,21,98
63,30,93
142,195,337
106,155,261
152,158,310
57,198,255
133,97,230
115,113,228
76,150,226
109,78,187
145,158,303
15,156,171
189,25,214
195,53,248
160,54,214
67,169,236
20,40,60
61,44,105
141,19,160
40,0,40
104,115,219
176,152,328
120,74,194
8,59,67
73,180,253
72,179,251
116,18,134
175,59,234
67,160,227
150,169,319
50,108,158
29,139,168
57,165,222
38,68,106
36,18,54
15,42,57
78,152,230
191,145,336
73,112,185
31,119,150
176,77,253
179,103,282
69,128,197
138,126,264
112,20,132
153,10,163
110,188,298
82,154,236
64,6,70
23,58,81
172,147,319
150,5,155
195,172,367
68,147,215
10,195,205
193,44,237
120,132,252
166,113,279
71,46,117
149,111,260
162,125,287
23,120,143
89,104,193
85,82,167
171,26,197
41,84,125
105,177,282
126,73,199
169,102,271
194,140,334
9,116,125
22,80,102
64,82,146
29,197,226
103,131,234
0,168,168
138,118,256
105,13,118
48,132,180
92,159,251
193,127,320
160,113,273
194,13,207
52,68,120
140,33,173
73,112,185
178,124,302
31,7,38
161,155,316
61,181,242
40,79,119
141,3,144
141,104,245
23,57,80
29,118,147
30,165,195
39,127,166
183,74,257
130,180,310
69,106,175
123,120,243
62,116,178
141,37,178
98,48,146
153,130,283
191,34,225
17,70,87
197,106,303
87,129,216
68,0,68
72,185,257
76,150,226
148,168,316
125,38,163
114,137,251
123,88,211
85,141,226
195,139,334
96,116,212
82,48,130
178,61,239
146,98,244
59,198,257
105,11,116
81,190,271
121,180,301
97,98,195
169,166,335
38,126,164
9,32,41
128,151,279
84,25,109
112,25,137
134,116,250
3,184,187
36,104,140
167,39,206
19,120,139
200,67,267
86,159,245
177,101,278
166,20,186
84,172,256
136,97,233
81,160,241
183,194,377
124,138,262
9,158,167
17,60,77
161,175,336
73,58,131
191,23,214
111,25,136
194,162,356
180,25,205
113,42,155
177,76,253
7,11,18
83,14,97
75,91,166
95,110,205
37,62,99
135,105,240
144,174,318
46,43,89
44,20,64
156,97,253
158,174,332
61,127,188
149,36,185
59,118,177
163,65,228
117,65,182
170,2,172
119,73,192
173,139,312
40,18,58
113,88,201
150,76,226
163,108,271
176,64,240
116,77,193
50,98,148
123,27,150
60,97,157
146,91,237
147,75,222
179,75,254
5,168,173
101,70,171
2,144,146
175,199,374
190,12,202
155,190,345
127,73,200
198,58,256
155,90,245
56,162,218
48,158,206
64,173,237
193,184,377
196,168,364
174,35,209
160,24,184
160,165,325
10,79,89
112,8,120
148,93,241
187,33,220
23,75,98
83,191,274
106,44,150
51,33,84
138,93,231
135,128,263
69,42,111
65,123,188
75,191,266
86,29,115
119,19,138
36,193,229
57,173,230
185,172,357
101,142,243
93,23,116
101,3,104
67,137,204
31,116,147
94,172,266
191,172,363
67,149,216
97,163,260
95,27,122
172,59,231
120,6,126
158,143,301
83,156,239
56,165,221
16,162,178
118,179,297
77,166,243
104,29,133
35,11,46
9,77,86
126,29,155
24,60,84
137,34,171
99,116,215
94,171,265
190,178,368
138,107,245
150,190,340
186,39,225
106,167,273
25,125,150
157,104,261
71,8,79
176,94,270
55,113,168
113,60,173
92,25,117
175,94,269
139,165,304
91,15,106
101,70,171
48,31,79
116,23,139
169,54,223
164,163,327
152,5,157
12,85,97
62,32,94
144,52,196
17,195,212
141,53,194
150,55,205
59,84,143
198,37,235
152,0,152
70,37,107
33,138,171
64,44,108
28,169,197
6,33,39
3,91,94
60,150,210
82,4,86
44,67,111
13,32,45
189,107,296
134,29,163
190,16,206
121,114,235
199,92,291
131,151,282
27,115,142
128,56,184
157,11,168
186,200,386
168,133,301
77,117,194
164,7,171
15,122,137
102,109,211
175,27,202
125,182,307
113,18,131
20,82,102
155,37,192
16,32,48
70,159,229
162,149,311
140,182,322
83,97,180
152,135,287
75,116,191
129,154,283
110,25,135
179,29,208
167,166,333
196,141,337
184,55,239
110,115,225
58,105,163
86,116,202
102,106,208
186,24,210
80,109,189
80,170,250
65,95,160
39,175,214
121,17,138
23,21,44
23,110,133
24,190,214
189,95,284
33,142,175
15,150,165
143,143,286
84,171,255
31,105,136
90,170,260
192,108,300
184,13,197
73,153,226
79,90,169
26,147,173
129,54,183
39,168,207
123,57,180
27,89,116
142,94,236
29,195,224
71,146,217
57,109,166
143,196,339
159,157,316
172,164,336
142,6,148
155,168,323
177,68,245
7,46,53
69,179,248
195,79,274
86,89,175
1,46,47
36,144,180
168,102,270
17,36,53
189,162,351
7,23,30
191,135,326
55,96,151
107,116,223
87,40,127
94,79,173
184,83,267
198,145,343
152,21,173
13,39,52
40,193,233
158,12,170
172,20,192
69,113,182
169,108,277
124,155,279
113,106,219
69,55,124
193,131,324
29,88,117
110,28,138
72,173,245
173,151,324
124,134,258
170,78,248
11,56,67
101,153,254
14,1,15
52,77,129
54,196,250
35,195,230
65,74,139
83,30,113
1,127,128
191,110,301
44,33,77
97,136,233
180,58,238
128,143,271
171,90,261
18,101,119
189,10,199
111,4,115
117,19,136
80,147,227
109,146,255
103,181,284
163,106,269
74,29,103
103,5,108
83,43,126
158,117,275
176,92,268
22,111,133
27,62,89
111,150,261
102,134,236
20,101,121
79,190,269
86,56,142
85,199,284
43,19,62
130,162,292
29,135,164
130,49,179
198,89,287
89,186,275
165,37,202
60,26,86
37,65,102
50,44,94
154,39,193
194,194,388
167,19,186
45,197,242
160,126,286
118,193,311
144,194,338
148,114,262
174,144,318
164,162,326
159,82,241
160,80,240
38,112,150
17,120,137
113,161,274
77,70,147
151,14,165
90,129,219
18,79,97
118,115,233
9,14,23
94,73,167
19,165,184
23,157,180
152,129,281
98,118,216
148,141,289
189,10,199
115,146,261
166,48,214
82,154,236
121,128,249
38,15,53
115,26,141
87,182,269
21,129,150
165,44,209
10,63,73
181,112,293
112,134,246
133,156,289
40,93,133
95,72,167
99,104,203
198,86,284
173,153,326
13,161,174
165,85,250
16,84,100
24,142,166
173,98,271
72,64,136
185,168,353
154,38,192
85,20,105
149,169,318
36,89,125
79,167,246
178,169,347
100,33,133
152,181,333
21,79,100
143,96,239
164,84,248
32,171,203
179,189,368
175,134,309
23,165,188
171,108,279
130,92,222
4,92,96
79,46,125
54,87,141
196,124,320
49,57,106
35,39,74
19,75,94
25,129,154
197,138,335
189,134,323
9,169,178
86,196,282
158,33,191
152,96,248
39,41,80
46,177,223
197,159,356
42,184,226
112,11,123
105,93,198
173,184,357
60,113,173
156,72,228
192,191,383
200,114,314
59,136,195
61,79,140
200,120,320
49,94,143
173,146,319
112,118,230
196,72,268
199,97,296
128,135,263
107,41,148
51,154,205
35,64,99
13,164,177
123,95,218
141,26,167
182,132,314
31,72,103
21,195,216
41,69,110
115,131,246
37,111,148
23,56,79
115,89,204
6,106,112
13,101,114
128,95,223
60,98,158
20,95,115
57,7,64
81,25,106
182,166,348
85,37,122
35,9,44
73,120,193
178,35,213
194,180,374
120,114,234
157,1,158
20,4,24
65,55,120
38,140,178
186,155,341
135,108,243
28,198,226
73,60,133
77,31,108
12,61,73
107,163,270
159,117,276
16,28,44
127,152,279
137,4,141
161,131,292
147,61,208
183,36,219
74,109,183
0,157,157
90,61,151
146,106,252
47,170,217
171,21,192
134,92,226
17,134,151
139,129,268
129,141,270
5,99,104
120,11,131
162,99,261
95,64,159
191,4,195
91,17,108
88,61,149
187,168,355
160,26,186
197,148,345
188,193,381
85,34,119
11,90,101
139,86,225
164,44,208
199,175,374
118,178,296
122,161,283
46,34,80
16,183,199
198,117,315
9,75,84
51,11,62
51,10,61
80,79,159
131,101,232
139,121,260
64,9,73
192,165,357
48,73,121
91,199,290
12,167,179
84,69,153
31,94,125
111,102,213
190,112,302
98,86,184
47,127,174
177,127,304
94,132,226
68,21,89
186,108,294
20,110,130
154,46,200
139,75,214
82,26,108
20,83,103
169,75,244
78,114,192
154,183,337
109,42,151
176,113,289
89,114,203
10,186,196
90,157,247
111,70,181
163,14,177
19,171,190
163,103,266
93,131,224
191,173,364
40,7,47
36,155,191
173,200,373
112,8,120
32,17,49
60,199,259
165,93,258
92,98,190
145,8,153
154,39,193
173,115,288
94,95,189
113,195,308
19,146,165
35,135,170
93,101,194
80,166,246
71,63,134
29,6,35
188,47,235
127,132,259
99,143,242
30,67,97
198,66,264
180,114,294
54,156,210
73,177,250
125,51,176
31,34,65
18,115,133
44,182,226
113,22,135
174,81,255
170,88,258
181,16,197
140,138,278
74,76,150
40,182,222
181,179,360
163,44,207
92,130,222
57,31,88
51,35,86
60,126,186
6,92,98
141,146,287
94,119,213
141,33,174
156,22,178
16,79,95
101,183,284
184,122,306
134,105,239
196,104,300
147,18,165
32,81,113
164,18,182
115,119,234
174,132,306
88,32,120
199,141,340
163,150,313
46,196,242
33,110,143
128,14,142
31,132,163
39,77,116
42,41,83
82,181,263
57,88,145
132,72,204
20,64,84
50,162,212
141,70,211
32,160,192
77,157,234
136,23,159
128,164,292
43,151,194
148,39,187
43,168,211
159,184,343
154,86,240
144,10,154
7,20,27
11,164,175
197,147,344
67,166,233
53,196,249
146,106,252
158,163,321
7,127,134
160,139,299
74,164,238
77,123,200
62,175,237
103,76,179
116,18,134
176,15,191
40,112,152
106,123,229
118,52,170
87,155,242
36,80,116
183,81,264
187,88,275
102,33,135
194,94,288
131,143,274
27,81,108
61,119,180
31,68,99
115,63,178
36,24,60
12,74,86
98,157,255
107,63,170
40,83,123
147,184,331
80,48,128
195,40,235
127,131,258
119,127,246
78,127,205
5,23,28
100,129,229
117,61,178
55,149,204
90,12,102
12,72,84
126,152,278
167,172,339
120,73,193
137,2,139
27,110,137
34,67,101
186,93,279
195,103,298
93,11,104
102,13,115
145,143,288
49,92,141
141,73,214
18,98,116
129,115,244
195,140,335
71,159,230
174,156,330
30,32,62
24,100,124
95,86,181
142,93,235
193,36,229
50,154,204
130,102,232
128,10,138
11,9,20
35,182,217
85,121,206
132,116,248
38,155,193
131,35,166
83,156,239
81,41,122
100,157,257
189,76,265
151,86,237
129,130,259
136,125,261
181,144,325
76,121,197
4,94,98
84,172,256
28,106,134
149,78,227
185,176,361
161,6,167
152,121,273
67,167,234
200,198,398
148,147,295
58,184,242
13,149,162
122,43,165
134,161,295
184,158,342
198,97,295
37,174,211
62,8,70
146,179,325
28,48,76
4,112,116
80,107,187
38,105,143
176,52,228
105,128,233
198,156,354
120,188,308
186,15,201
180,35,215
132,53,185
143,83,226
169,122,291
134,96,230
80,44,124
117,136,253
87,139,226
90,173,263
197,184,381
174,164,338
177,67,244
156,123,279
49,63,112
71,142,213
76,57,133
76,197,273
73,180,253
53,176,229
180,125,305
81,122,203
89,143,232
184,70,254
73,31,104
146,173,319
139,97,236
101,88,189
197,37,234
74,10,84
73,182,255
20,88,108
113,167,280
65,191,256
122,54,176
51,137,188
69,143,212
178,69,247
35,27,62
157,189,346
150,61,211
62,12,74
171,135,306
57,163,220
59,13,72
25,105,130
84,183,267
120,25,145
174,197,371
35,1,36
140,40,180
104,167,271
121,122,243
166,51,217
193,73,266
82,73,155
165,15,180
196,22,218
166,146,312
59,136,195
189,185,374
9,44,53
106,45,151
9,101,110
126,47,173
191,74,265
9,2,11
76,145,221
154,27,181
85,72,157
116,164,280
139,134,273
126,34,160
129,119,248
69,49,118
28,84,112
41,187,228
117,165,282
65,183,248
47,3,50
188,86,274
75,145,220
172,193,365
49,44,93
156,163,319
103,109,212
131,83,214
22,102,124
171,24,195
47,35,82
122,82,204
63,1,64
66,98,164
60,114,174
192,68,260
84,77,161
149,185,334
146,2,148
66,167,233
92,177,269
60,15,75
170,30,200
119,78,197
40,103,143
175,128,303
180,197,377
79,176,255
30,163,193
75,94,169
157,56,213
56,34,90
122,39,161
116,191,307
155,95,250
106,179,285
140,120,260
193,137,330
170,55,225
195,63,258
174,193,367
152,20,172
134,114,248
135,180,315
92,19,111
144,28,172
15,140,155
129,51,180
146,137,283
38,42,80
83,133,216
113,29,142
174,52,226
183,149,332
125,23,148
130,114,244
14,116,130
33,131,164
106,116,222
144,14,158
143,118,261
172,78,250
185,5,190
101,65,166
0,190,190
55,148,203
18,11,29
108,88,196
179,16,195
138,15,153
17,120,137
8,73,81
104,46,150
196,34,230
196,164,360
186,165,351
107,95,202
97,114,211
96,96,192
20,174,194
169,138,307
34,167,201
89,30,119
45,137,182
100,135,235
32,186,218
57,0,57
193,5,198
76,118,194
172,184,356
139,108,247
136,97,233
58,63,121
117,88,205
39,70,109
48,185,233
195,28,223
8,169,177
107,157,264
196,4,200
61,52,113
17,25,42
152,8,160
114,153,267
172,180,352
12,62,74
189,11,200
102,112,214
59,138,197
55,193,248
198,14,212
35,128,163
74,59,133
187,147,334
81,147,228
153,197,350
172,82,254
60,77,137
36,169,205
133,56,189
105,76,181
70,15,85
142,151,293
188,44,232
160,173,333
109,142,251
126,12,138
88,164,252
171,97,268
134,81,215
178,106,284
104,38,142
76,96,172
47,193,240
137,121,258
61,57,118
76,181,257
36,118,154
14,143,157
105,106,211
142,135,277
34,99,133
62,65,127
52,84,136
165,20,185
115,94,209
23,137,160
185,48,233
13,68,81
96,172,268
154,154,308
10,18,28
48,194,242
150,185,335
171,143,314
55,122,177
53,85,138
77,3,80
54,48,102
189,30,219
191,193,384
122,62,184
178,154,332
180,52,232
101,61,162
141,82,223
198,72,270
97,119,216
136,166,302
91,78,169
66,92,158
131,127,258
119,25,144
184,120,304
194,81,275
52,94,146
80,105,185
11,144,155
56,189,245
37,4,41
66,141,207
149,148,297
184,106,290
75,39,114
50,84,134
58,97,155
145,62,207
127,140,267
167,175,342
86,65,151
195,125,320
185,164,349
189,125,314
117,43,160
187,90,277
43,35,78
184,139,323
125,47,172
138,164,302
15,134,149
8,19,27
171,12,183
195,1,196
105,35,140
161,59,220
17,181,198
38,2,40
55,129,184
116,95,211
15,158,173
163,170,333
157,123,280
168,124,292
4,1,5
136,141,277
105,3,108
4,135,139
184,70,254
137,73,210
4,128,132
178,172,350
110,45,155
27,24,51
134,38,172
61,49,110
158,134,292
64,90,154
68,101,169
20,95,115
103,117,220
144,62,206
178,57,235
76,175,251
20,167,187
166,194,360
8,23,31
103,97,200
96,141,237
121,14,135
163,2,165
179,43,222
21,127,148
111,165,276
200,84,284
144,24,168
135,10,145
58,54,112
177,145,322
121,69,190
11,19,30
175,71,246
139,144,283
168,8,176
45,80,125
4,53,57
150,36,186
192,182,374
101,19,120
76,41,117
144,61,205
145,99,244
173,138,311
84,98,182
193,189,382
35,176,211
185,20,205
128,190,318
88,13,101
25,111,136
59,19,78
87,154,241
196,157,353
152,101,253
198,83,281
7,162,169
69,200,269
115,125,240
58,91,149
141,96,237
110,47,157
174,149,323
169,97,266
21,197,218
158,75,233
63,182,245
18,21,39
68,39,107
97,182,279
200,162,362
39,189,228
99,81,180
92,27,119
23,1,24
78,113,191
92,194,286
69,26,95
33,22,55
47,110,157
114,142,256
142,131,273
104,26,130
6,22,28
90,141,231
23,152,175
153,200,353
83,98,181
3,74,77
105,99,204
199,21,220
185,143,328
62,146,208
133,43,176
175,97,272
43,35,78
68,77,145
68,126,194
37,16,53
42,111,153
70,107,177
76,123,199
200,19,219
92,64,156
63,184,247
160,126,286
152,157,309
50,117,167
27,34,61
77,1,78
101,85,186
158,97,255
84,112,196
85,110,195
166,152,318
34,76,110
82,154,236
177,51,228
122,80,202
45,101,146
81,74,155
188,177,365
162,125,287
147,200,347
62,83,145
96,71,167
100,93,193
29,144,173
51,151,202
139,46,185
174,196,370
140,6,146
186,118,304
181,53,234
112,74,186
177,17,194
104,172,276
127,35,162
162,77,239
61,64,125
168,39,207
183,108,291
96,18,114
114,153,267
122,149,271
102,136,238
129,177,306
107,139,246
9,92,101
179,137,316
152,163,315
21,27,48
196,63,259
168,170,338
90,42,132
165,156,321
11,144,155
165,173,338
165,102,267
192,84,276
110,27,137
2,25,27
66,56,122
130,191,321
132,142,274
148,176,324
147,56,203
114,95,209
100,118,218
197,173,370
150,176,326
128,38,166
88,6,94
123,26,149
75,106,181
21,29,50
186,36,222
89,79,168
87,116,203
200,52,252
133,123,256
89,121,210
24,112,136
184,178,362
115,81,196
17,76,93
11,181,192
29,5,34
87,165,252
27,173,200
42,189,231
62,132,194
44,141,185
40,84,124
143,109,252
118,59,177
103,161,264
47,47,94
163,168,331
110,101,211
7,188,195
157,50,207
115,151,266
109,99,208
1,180,181
54,52,106
71,192,263
180,16,196
147,26,173
137,47,184
93,83,176
50,117,167
29,67,96
171,125,296
135,163,298
80,152,232
99,156,255
100,150,250
29,89,118
90,117,207
158,44,202
172,180,352
76,157,233
151,21,172
172,34,206
80,30,110
61,78,139
29,46,75
95,177,272
36,130,166
99,107,206
152,35,187
147,98,245
108,47,155
124,162,286
137,177,314
165,44,209
142,42,184
125,73,198
35,47,82
80,115,195
158,13,171
91,2,93
124,34,158
49,98,147
143,129,272
167,126,293
104,175,279
125,106,231
181,113,294
125,42,167
21,144,165
7,194,201
56,74,130
8,70,78
57,137,194
73,43,116
199,117,316
144,190,334
197,196,393
126,140,266
130,28,158
146,29,175
68,198,266
139,93,232
138,193,331
10,194,204
184,112,296
139,55,194
108,26,134
188,167,355
192,63,255
76,8,84
115,67,182
89,22,111
112,30,142
198,60,258
53,188,241
150,176,326
89,181,270
156,161,317
109,42,151
157,35,192
200,52,252
52,15,67
145,89,234
136,71,207
152,137,289
43,82,125
180,74,254
74,146,220
68,131,199
173,24,197
34,192,226
105,15,120
70,167,237
32,179,211
33,63,96
37,182,219
82,63,145
194,173,367
100,125,225
36,147,183
161,68,229
160,106,266
96,115,211
19,162,181
196,23,219
103,131,234
191,71,262
177,94,271
116,124,240
83,148,231
0,198,198
187,23,210
187,117,304
162,170,332
178,91,269
16,136,152
101,55,156
109,54,163
126,68,194
82,72,154
86,140,226
147,33,180
144,124,268
87,174,261
195,12,207
11,25,36
160,200,360
117,4,121
31,40,71
112,116,228
0,109,109
51,176,227
33,166,199
77,40,117
70,23,93
167,92,259
64,21,85
95,170,265
166,42,208
13,101,114
160,78,238
185,179,364
193,59,252
109,167,276
23,180,203
24,0,24
54,122,176
19,33,52
151,57,208
132,174,306
113,2,115
2,178,180
87,30,117
108,177,285
33,122,155
18,58,76
98,22,120
187,26,213
26,80,106
94,76,170
35,97,132
198,192,390
34,164,198
173,36,209
17,135,152
144,2,146
156,166,322
42,112,154
89,184,273
54,160,214
191,38,229
105,157,262
175,113,288
55,22,77
25,35,60
192,31,223
150,186,336
98,89,187
109,80,189
35,63,98
70,165,235
21,63,84
141,153,294
153,184,337
155,72,227
199,176,375
6,168,174
77,52,129
132,155,287
130,48,178
191,100,291
75,165,240
13,200,213
61,126,187
98,28,126
61,127,188
163,152,315
18,135,153
3,92,95
81,33,114
99,145,244
107,93,200
139,174,313
44,195,239
120,197,317
18,4,22
150,17,167
3,67,70
55,10,65
15,101,116
129,73,202
160,182,342
128,196,324
106,108,214
179,102,281
21,163,184
137,137,274
157,39,196
71,21,92
79,20,99
130,52,182
39,137,176
83,100,183
150,162,312
195,166,361
174,164,338
16,79,95
178,111,289
186,61,247
14,62,76
22,111,133
29,116,145
156,155,311
14,79,93
170,189,359
168,189,357
44,30,74
3,181,184
35,179,214
2,41,43
127,88,215
133,132,265
200,184,384
66,42,108
95,32,127
191,199,390
68,187,255
30,197,227
7,85,92
109,69,178
134,16,150
67,182,249
147,160,307
19,127,146
116,130,246
92,14,106
127,145,272
42,94,136
40,65,105
197,26,223
146,172,318
185,29,214
58,189,247
130,0,130
11,3,14
62,11,73
120,93,213
98,38,136
45,9,54
141,182,323
189,167,356
107,57,164
82,63,145
106,184,290
81,69,150
19,146,165
95,30,125
128,172,300
13,45,58
57,132,189
11,102,113
17,119,136
72,198,270
79,83,162
22,141,163
116,2,118
94,51,145
74,144,218
200,77,277
189,159,348
62,118,180
94,151,245
126,197,323
198,50,248
187,139,326
194,62,256
38,1,39
104,6,110
59,138,197
88,162,250
177,2,179
85,0,85
194,168,362
96,188,284
186,78,264
26,52,78
135,60,195
107,125,232
15,36,51
182,71,253
23,11,34
59,133,192
105,179,284
95,117,212
191,21,212
148,24,172
129,34,163
163,100,263
19,151,170
145,15,160
111,169,280
33,60,93
74,66,140
80,100,180
179,188,367
83,81,164
115,69,184
59,19,78
51,34,85
199,197,396
149,27,176
39,27,66
42,115,157
119,80,199
104,30,134
137,91,228
197,53,250
115,78,193
118,67,185
30,23,53
40,175,215
77,180,257
178,154,332
10,55,65
83,37,120
23,182,205
63,91,154
101,131,232
12,173,185
76,66,142
44,7,51
103,115,218
142,191,333
140,63,203
24,118,142
26,35,61
31,3,34
15,199,214
56,33,89
50,102,152
95,175,270
161,165,326
21,149,170
150,66,216
19,5,24
16,50,66
165,113,278
32,23,55
84,31,115
10,118,128
12,43,55
146,110,256
185,101,286
127,7,134
97,174,271
109,44,153
90,54,144
47,70,117
71,114,185
38,8,46
157,158,315
157,62,219
165,75,240
127,105,232
140,122,262
15,22,37
71,98,169
35,107,142
51,164,215
134,63,197
161,139,300
4,97,101
200,182,382
91,122,213
139,200,339
124,88,212
144,128,272
82,99,181
69,46,115
6,81,87
152,56,208
7,199,206
71,14,85
120,135,255
91,196,287
149,59,208
40,25,65
63,168,231
61,68,129
136,188,324
14,195,209
56,147,203
99,90,189
44,45,89
60,151,211
81,188,269
178,91,269
151,7,158
180,179,359
90,145,235
144,36,180
144,48,192
126,138,264
79,44,123
125,9,134
23,14,37
59,154,213
56,5,61
134,122,256
0,84,84
157,51,208
33,87,120
183,45,228
82,15,97
5,37,42
150,180,330
36,198,234
28,134,162
93,18,111
95,180,275
169,101,270
150,25,175
86,77,163
82,34,116
40,187,227
111,163,274
124,166,290
81,44,125
