a,b,operation,result
7,-19,1,26
24,37,2,888
8,-40,0,-32
10,-33,1,43
38,0,2,0
-23,41,1,-64
40,4,2,160
26,-18,0,8
-38,21,0,-17
-44,-8,0,-52
10,-5,2,-50
35,26,2,910
45,-45,0,0
-18,14,2,-252
-2,-12,1,10
35,-3,0,32
21,-45,2,-945
-28,-17,0,-45
14,13,1,1
9,-34,0,-25
-10,40,2,-400
5,-32,1,37
-36,-10,0,-46
-34,13,1,-47
45,-4,1,49
-14,-17,2,238
47,-17,2,-799
-10,5,0,-5
-10,44,1,-54
47,-31,2,-1457
34,31,1,3
-44,-26,0,-70
-44,-21,0,-65
-46,10,1,-56
-30,40,1,-70
5,-36,1,41
-45,6,1,-51
40,21,1,19
8,13,0,21
42,-32,0,10
-6,-39,0,-45
-14,-27,0,-41
45,15,1,30
22,34,2,748
-23,24,0,1
17,48,2,816
-27,3,0,-24
-19,48,1,-67
36,-38,1,74
-47,-14,2,658
37,-35,1,72
-3,25,0,22
-9,-31,0,-40
-40,8,2,-320
34,11,1,23
30,-16,2,-480
34,-50,1,84
-45,33,2,-1485
7,-9,2,-63
43,22,0,65
-23,-44,2,1012
-14,-9,0,-23
45,-41,2,-1845
27,-2,0,25
1,-18,0,-17
-20,48,1,-68
-39,-48,0,-87
-30,-1,1,-29
-14,32,2,-448
-31,-35,1,4
12,5,2,60
-11,37,2,-407
-34,-5,2,170
-38,-3,2,114
-25,12,1,-37
-1,10,1,-11
22,26,1,-4
-39,46,1,-85
-3,28,0,25
5,30,1,-25
-39,-45,2,1755
-7,9,2,-63
-22,32,2,-704
41,-31,1,72
17,30,2,510
17,-40,1,57
9,5,0,14
11,-12,0,-1
-34,37,1,-71
-19,16,1,-35
-13,22,0,9
20,-41,0,-21
15,-37,2,-555
4,2,0,6
9,34,2,306
22,-18,1,40
-18,24,0,6
48,14,0,62
-36,44,2,-1584
9,-28,0,-19
0,-45,0,-45
3,40,1,-37
-10,25,2,-250
8,46,2,368
7,29,1,-22
-7,-27,0,-34
-27,-40,2,1080
27,-17,2,-459
-37,5,2,-185
-48,-50,1,2
-36,-49,0,-85
33,11,1,22
38,1,2,38
45,27,2,1215
12,-12,2,-144
28,-4,2,-112
36,38,2,1368
0,-12,0,-12
-34,-33,0,-67
-26,-36,0,-62
39,-26,0,13
-24,11,2,-264
-32,33,0,1
5,30,2,150
-26,-39,1,13
48,9,0,57
10,4,0,14
-36,-29,0,-65
44,39,1,5
12,10,0,22
7,24,0,31
-25,-13,2,325
0,-44,1,44
-49,-37,2,1813
41,5,1,36
13,44,2,572
26,43,2,1118
-13,-46,1,33
1,12,2,12
25,42,2,1050
36,12,0,48
41,-43,2,-1763
-48,4,2,-192
-10,20,0,10
-16,32,1,-48
10,-36,1,46
29,32,1,-3
7,39,1,-32
-48,-30,1,-18
42,-26,1,68
-6,6,0,0
14,-22,2,-308
37,-7,2,-259
41,34,1,7
-34,-13,2,442
41,-1,1,42
36,33,2,1188
-4,10,0,6
29,-24,1,53
38,45,0,83
35,11,0,46
-28,-25,0,-53
27,12,0,39
3,13,1,-10
-20,-24,2,480
-44,-48,1,4
-17,-5,2,85
-30,-28,2,840
-46,-42,1,-4
5,-36,2,-180
-21,-35,2,735
-22,12,1,-34
-7,50,1,-57
48,-45,2,-2160
-16,-31,2,496
15,27,2,405
-37,40,0,3
6,8,0,14
-37,50,2,-1850
28,50,0,78
21,-45,2,-945
-37,-29,2,1073
-35,-24,1,-11
-30,43,1,-73
40,6,2,240
13,43,0,56
-31,32,1,-63
-8,-33,0,-41
-25,6,1,-31
48,48,0,96
-19,10,1,-29
-14,14,0,0
-40,-16,1,-24
41,46,1,-5
-4,30,2,-120
-19,-31,2,589
3,50,0,53
-33,4,1,-37
2,8,2,16
37,-4,0,33
6,-32,0,-26
41,16,0,57
-40,-7,1,-33
1,48,0,49
5,-43,1,48
47,-46,2,-2162
32,-31,2,-992
-43,30,2,-1290
34,16,1,18
3,1,2,3
39,20,1,19
42,45,1,-3
-6,-49,1,43
17,28,0,45
39,1,1,38
32,-24,2,-768
29,50,2,1450
33,6,2,198
-6,50,2,-300
1,49,0,50
-12,-40,0,-52
18,-8,1,26
42,42,2,1764
-34,16,2,-544
-14,-23,0,-37
15,20,1,-5
16,-7,2,-112
-30,-48,0,-78
19,25,1,-6
-20,49,1,-69
42,4,2,168
-36,43,0,7
-3,-17,2,51
14,-5,0,9
-44,46,2,-2024
-35,7,1,-42
23,44,0,67
8,-7,0,1
45,24,2,1080
41,30,2,1230
18,26,0,44
-6,-12,1,6
35,50,2,1750
23,36,0,59
41,-2,2,-82
44,-19,0,25
-9,16,2,-144
-26,49,1,-75
8,-38,0,-30
41,4,1,37
-40,-39,0,-79
4,-34,1,38
-23,7,0,-16
-3,36,2,-108
1,25,2,25
16,49,1,-33
-17,24,1,-41
31,4,1,27
38,12,2,456
3,-30,0,-27
14,-34,1,48
41,8,0,49
40,15,2,600
-35,38,0,3
8,10,0,18
45,-30,2,-1350
-3,-35,2,105
2,-36,0,-34
-3,23,1,-26
-45,16,0,-29
-35,-3,1,-32
-3,-12,1,9
12,-47,0,-35
-32,50,2,-1600
3,-44,1,47
-14,-23,0,-37
44,12,0,56
-35,20,1,-55
-42,-45,1,3
11,23,1,-12
22,7,1,15
50,-2,1,52
42,27,0,69
47,-33,2,-1551
31,8,1,23
35,7,0,42
43,-9,0,34
29,35,2,1015
2,-1,0,1
0,-7,2,0
-45,35,1,-80
44,-15,2,-660
-39,-29,2,1131
-47,23,2,-1081
48,40,1,8
21,32,0,53
32,21,0,53
-26,29,2,-754
23,46,0,69
22,16,0,38
46,10,2,460
-48,-35,2,1680
18,-27,0,-9
-15,50,0,35
-19,40,2,-760
6,-40,2,-240
27,-9,1,36
25,-45,1,70
-48,-7,1,-41
-27,3,0,-24
17,-10,1,27
-18,-39,0,-57
-38,19,0,-19
-14,-32,0,-46
-18,48,0,30
-31,-11,1,-20
36,-29,0,7
28,-9,0,19
-47,41,0,-6
-12,-1,0,-13
-10,-32,1,22
-9,-17,1,8
-35,-44,0,-79
-20,46,2,-920
25,-20,1,45
15,46,2,690
-1,-36,1,35
-43,-10,1,-33
20,2,0,22
11,-47,1,58
31,-21,0,10
-16,20,2,-320
36,-38,0,-2
47,21,2,987
50,-34,1,84
22,2,1,20
-40,31,2,-1240
-24,50,0,26
-3,19,0,16
50,-19,2,-950
4,21,1,-17
-45,-50,1,5
29,-13,2,-377
-29,-50,0,-79
11,-16,2,-176
-18,37,1,-55
-6,30,0,24
24,15,1,9
-45,-30,2,1350
18,22,0,40
-12,-39,1,27
39,-35,0,4
42,21,1,21
5,-24,2,-120
14,-10,2,-140
-7,31,1,-38
46,40,1,6
-16,-19,2,304
-9,-7,0,-16
8,26,1,-18
-48,38,0,-10
32,-50,2,-1600
10,-50,0,-40
36,-28,1,64
21,39,2,819
12,47,1,-35
18,-40,2,-720
33,-41,2,-1353
-47,35,1,-82
36,-35,1,71
-2,26,1,-28
-1,-28,2,28
-49,-35,1,-14
-3,-26,1,23
-49,-22,2,1078
-48,47,1,-95
37,40,1,-3
-26,-39,2,1014
30,-12,2,-360
-22,-21,1,-1
-4,-46,1,42
13,40,2,520
27,-24,0,3
-25,31,1,-56
-36,-15,2,540
14,13,0,27
20,-26,2,-520
44,22,2,968
37,27,2,999
-28,-42,2,1176
-34,45,0,11
-34,-17,2,578
-21,16,2,-336
50,-15,0,35
36,-48,2,-1728
36,18,2,648
-18,37,2,-666
8,-50,1,58
32,36,2,1152
-44,-9,1,-35
2,-15,0,-13
37,16,1,21
13,-4,2,-52
47,-45,2,-2115
-22,-44,1,22
3,18,1,-15
-10,-50,1,40
-26,-8,0,-34
23,-47,2,-1081
-22,38,1,-60
-41,-19,0,-60
-29,-8,1,-21
-42,30,2,-1260
-38,-47,1,9
5,-47,2,-235
30,-8,1,38
-19,-37,1,18
-20,-7,0,-27
-8,16,0,8
-41,49,2,-2009
29,6,0,35
30,7,2,210
-35,-40,0,-75
-46,-2,1,-44
38,-42,0,-4
-43,6,0,-37
-12,28,2,-336
5,-42,0,-37
36,-43,2,-1548
-44,-13,1,-31
1,-38,2,-38
46,2,0,48
26,50,2,1300
29,-49,1,78
-1,9,1,-10
29,29,0,58
-7,33,2,-231
50,-47,1,97
16,-8,2,-128
-26,-37,0,-63
-49,26,2,-1274
-42,25,0,-17
23,-34,2,-782
15,-18,1,33
3,11,2,33
29,6,0,35
-19,-33,0,-52
-43,-34,1,-9
24,5,2,120
33,46,1,-13
-11,24,2,-264
49,-32,0,17
10,-11,2,-110
-7,-13,1,6
-49,16,2,-784
34,36,0,70
-43,-20,2,860
21,-44,1,65
-6,-25,0,-31
31,-25,0,6
-7,-26,2,182
10,38,2,380
9,26,2,234
-8,24,2,-192
-8,28,1,-36
3,-8,0,-5
-37,8,0,-29
13,-22,0,-9
31,-22,2,-682
-21,9,2,-189
-23,-20,1,-3
44,48,1,-4
44,-2,0,42
1,-27,0,-26
-4,-49,0,-53
-5,-47,2,235
-36,-32,1,-4
6,-26,2,-156
24,47,1,-23
-45,-47,0,-92
-25,-14,0,-39
-22,-17,2,374
-28,-7,2,196
-19,-28,0,-47
-48,-28,1,-20
-38,-48,2,1824
-33,-2,2,66
50,-36,1,86
-24,-11,1,-13
-20,-3,1,-17
34,-29,2,-986
29,5,2,145
-42,-35,0,-77
-34,-26,0,-60
18,-2,2,-36
-3,-10,2,30
4,31,0,35
-45,47,2,-2115
25,-26,2,-650
-13,-31,1,18
-19,-44,2,836
-15,-34,2,510
24,12,0,36
43,-40,1,83
34,28,0,62
-29,15,1,-44
46,32,2,1472
-3,13,2,-39
9,-28,1,37
41,-3,2,-123
38,11,2,418
13,10,1,3
24,1,2,24
24,33,0,57
-24,-22,0,-46
7,-20,1,27
-23,-11,1,-12
-2,23,0,21
-3,-18,2,54
-40,-33,0,-73
-13,6,2,-78
-5,-21,2,105
-45,9,2,-405
29,-7,1,36
7,9,1,-2
2,-3,1,5
-10,-16,1,6
-47,-28,1,-19
-21,-17,2,357
-41,-5,0,-46
-13,14,2,-182
19,32,0,51
50,-15,0,35
-38,-35,0,-73
-4,-46,2,184
-25,-8,0,-33
36,-8,1,44
-12,45,2,-540
-15,-26,2,390
27,-33,2,-891
44,19,1,25
-49,48,1,-97
-14,-6,1,-8
1,24,2,24
-49,10,2,-490
15,47,0,62
0,-21,0,-21
42,45,0,87
10,-21,2,-210
25,50,2,1250
46,9,2,414
9,-7,0,2
-10,-26,1,16
48,39,1,9
-24,6,1,-30
21,-47,1,68
-33,23,0,-10
-11,44,0,33
13,34,1,-21
-7,-22,1,15
4,37,1,-33
47,49,2,2303
18,-12,1,30
25,-48,2,-1200
50,-46,0,4
-31,-8,2,248
30,27,2,810
23,0,1,23
-24,0,0,-24
18,-1,0,17
10,-37,1,47
22,7,2,154
-12,-39,0,-51
-37,36,2,-1332
-28,-46,2,1288
27,12,0,39
-27,-25,0,-52
-1,-14,0,-15
-21,-13,2,273
17,-42,1,59
-43,-3,2,129
-49,-29,1,-20
2,0,0,2
-36,-34,2,1224
3,11,2,33
-42,-1,0,-43
-34,-24,1,-10
5,40,2,200
10,-30,2,-300
23,-11,2,-253
-25,14,2,-350
37,8,1,29
-25,-50,0,-75
7,-42,1,49
27,-19,2,-513
-8,22,1,-30
8,9,2,72
-45,44,0,-1
-14,32,1,-46
-6,39,2,-234
-12,0,2,0
-28,3,0,-25
-28,29,2,-812
5,8,1,-3
34,-27,2,-918
22,-38,1,60
39,-45,0,-6
-30,-15,2,450
18,-13,2,-234
-42,39,2,-1638
42,-23,1,65
2,47,2,94
-35,-3,0,-38
46,-37,2,-1702
48,49,1,-1
2,7,0,9
-18,-24,2,432
-45,9,0,-36
-41,31,2,-1271
36,45,1,-9
-2,-7,2,14
1,-26,1,27
-46,-49,1,3
-36,40,0,4
-9,35,2,-315
9,12,1,-3
-42,-40,2,1680
34,-19,2,-646
6,-33,1,39
-15,-30,0,-45
-48,27,0,-21
-28,-13,0,-41
18,44,1,-26
-29,-41,2,1189
47,-49,2,-2303
-16,-31,1,15
-5,-28,0,-33
41,-46,2,-1886
18,-23,1,41
39,-44,2,-1716
16,32,2,512
41,34,0,75
-1,38,1,-39
6,-44,2,-264
-50,-44,1,-6
48,-25,0,23
-3,-20,0,-23
-39,-48,1,9
-47,-49,1,2
-26,37,2,-962
-42,-22,0,-64
35,-29,2,-1015
-29,-45,1,16
15,-37,1,52
-9,21,2,-189
-26,29,0,3
19,0,1,19
-35,-21,0,-56
-37,-5,1,-32
-28,-49,1,21
33,-10,0,23
-1,-23,1,22
-22,-42,2,924
-15,33,2,-495
-3,-45,0,-48
-23,2,1,-25
48,26,1,22
-37,41,2,-1517
22,-29,1,51
-38,26,1,-64
30,39,1,-9
36,48,2,1728
-33,-8,0,-41
31,47,2,1457
-10,35,1,-45
-42,-8,0,-50
27,24,1,3
-2,15,2,-30
44,-21,2,-924
25,40,0,65
-21,-48,2,1008
47,-35,1,82
-20,44,1,-64
46,-19,2,-874
-40,-43,0,-83
-3,13,1,-16
-25,-31,1,6
-24,32,0,8
-20,42,2,-840
6,44,1,-38
-33,-15,1,-18
32,50,0,82
16,3,2,48
-14,46,0,32
-21,43,1,-64
-7,-19,0,-26
19,-44,2,-836
-19,37,2,-703
42,-22,2,-924
-2,16,1,-18
-27,6,2,-162
-50,-42,1,-8
-42,-26,0,-68
31,-32,0,-1
-34,-39,0,-73
25,20,0,45
-20,14,0,-6
4,42,1,-38
-11,-29,2,319
-25,-19,1,-6
-28,27,0,-1
-12,-14,2,168
7,31,0,38
-16,50,1,-66
-40,-4,1,-36
-2,-29,1,27
6,4,2,24
28,44,1,-16
47,-31,1,78
-48,47,1,-95
4,-40,1,44
26,18,0,44
20,43,0,63
-18,-2,1,-16
-11,8,1,-19
-2,21,2,-42
11,-41,1,52
-33,41,1,-74
-25,-31,0,-56
-50,-49,2,2450
43,42,1,1
12,1,1,11
0,45,1,-45
-1,12,1,-13
32,25,0,57
2,-46,0,-44
-1,22,0,21
-26,47,1,-73
-18,48,2,-864
-6,15,2,-90
12,31,2,372
-3,39,0,36
33,-1,1,34
44,-19,0,25
11,-46,1,57
30,40,2,1200
-47,39,2,-1833
32,-32,1,64
27,8,2,216
-32,-18,0,-50
27,24,2,648
-30,-49,0,-79
48,-39,2,-1872
41,-1,1,42
40,25,0,65
16,-26,1,42
-29,4,1,-33
38,-12,2,-456
18,34,1,-16
25,-11,2,-275
2,46,2,92
-39,-37,2,1443
23,49,1,-26
-32,-16,2,512
-24,45,1,-69
39,-11,0,28
-29,12,0,-17
-38,-42,2,1596
3,17,1,-14
33,-14,2,-462
5,-29,0,-24
-3,-27,2,81
-33,-25,1,-8
-27,14,0,-13
7,22,0,29
-27,-25,0,-52
45,-27,0,18
-17,2,1,-19
30,29,0,59
31,-29,0,2
-13,-40,1,27
-35,-15,0,-50
-7,-47,2,329
-20,11,1,-31
36,47,0,83
-49,-43,1,-6
46,-50,2,-2300
24,-45,0,-21
-23,16,0,-7
-2,27,2,-54
47,-16,1,63
10,46,1,-36
27,4,1,23
-3,37,1,-40
-10,-20,1,10
35,1,1,34
28,-43,1,71
-8,-38,0,-46
8,39,1,-31
42,-33,0,9
27,-35,2,-945
-15,39,0,24
-3,7,2,-21
37,34,1,3
15,2,2,30
-26,-50,2,1300
-9,-48,2,432
-4,-45,2,180
-9,36,1,-45
-21,27,1,-48
1,44,2,44
-40,-6,1,-34
10,34,2,340
-38,43,1,-81
-13,27,0,14
41,-32,2,-1312
23,50,2,1150
14,-46,0,-32
13,-39,1,52
36,20,1,16
-29,7,0,-22
11,34,2,374
-20,-19,0,-39
-29,46,2,-1334
39,-39,0,0
5,41,0,46
-30,-9,1,-21
48,-15,0,33
42,-18,2,-756
10,35,0,45
35,-33,2,-1155
31,42,1,-11
-39,38,1,-77
-22,23,2,-506
-42,32,1,-74
-2,41,2,-82
44,42,1,2
33,32,2,1056
5,-21,0,-16
-17,-36,1,19
-39,-36,0,-75
-7,44,2,-308
-26,45,0,19
23,-3,0,20
-10,-2,2,20
44,-50,1,94
-43,25,2,-1075
-26,-1,1,-25
-10,48,1,-58
36,-34,2,-1224
34,27,2,918
-22,-37,1,15
-49,18,1,-67
-10,-32,1,22
-22,13,2,-286
8,-32,2,-256
-14,-32,2,448
35,39,0,74
26,-10,1,36
14,38,0,52
-15,40,2,-600
11,30,0,41
13,-13,2,-169
-2,-43,1,41
-31,41,0,10
43,-22,2,-946
44,-44,0,0
12,43,1,-31
-12,34,0,22
-48,20,1,-68
-7,4,2,-28
10,-6,1,16
0,-41,2,0
43,-14,1,57
39,-26,2,-1014
20,0,0,20
-34,-9,2,306
-44,40,1,-84
8,33,0,41
23,-33,1,56
39,11,1,28
-32,-24,0,-56
45,-25,2,-1125
33,-49,1,82
42,23,0,65
36,50,0,86
-2,4,2,-8
-29,-43,0,-72
-5,10,0,5
-44,-35,2,1540
33,-7,2,-231
5,-31,2,-155
42,1,0,43
-46,-35,0,-81
0,12,1,-12
38,26,0,64
33,45,1,-12
49,38,2,1862
34,-39,1,73
33,-2,1,35
30,33,1,-3
-3,-49,0,-52
-36,-40,0,-76
12,32,2,384
15,-22,0,-7
25,23,2,575
11,-15,2,-165
45,-38,2,-1710
-27,-1,1,-26
32,39,1,-7
-12,23,0,11
-38,-9,0,-47
41,18,0,59
1,39,0,40
0,21,2,0
50,17,1,33
-42,16,2,-672
18,41,2,738
-35,46,0,11
34,-35,0,-1
26,38,0,64
-50,21,1,-71
-10,-35,0,-45
-34,23,0,-11
33,-30,0,3
21,-18,0,3
-40,-35,2,1400
-12,-4,2,48
-29,4,2,-116
-50,-19,1,-31
-45,16,1,-61
34,18,1,16
-33,23,1,-56
38,-10,2,-380
-5,27,2,-135
15,-24,2,-360
-38,34,0,-4
-20,-46,0,-66
-32,-12,0,-44
-33,27,2,-891
-23,25,1,-48
-15,-34,2,510
29,4,0,33
20,-18,1,38
-2,33,0,31
1,8,0,9
-18,36,1,-54
38,-32,2,-1216
-24,-41,2,984
43,-16,2,-688
39,32,0,71
41,-3,2,-123
34,32,2,1088
27,-30,1,57
-31,-10,1,-21
-2,-47,2,94
-19,-41,1,22
-35,18,0,-17
37,20,1,17
-42,-8,2,336
-39,-4,1,-35
49,-16,0,33
-22,-15,0,-37
-38,-2,0,-40
-2,-37,0,-39
-28,17,2,-476
-11,25,1,-36
-38,17,1,-55
39,23,1,16
20,-16,2,-320
-38,-44,0,-82
-10,46,1,-56
-27,-6,2,162
36,50,2,1800
20,26,1,-6
11,25,0,36
-17,-49,2,833
15,41,0,56
34,-34,0,0
-2,22,2,-44
-16,-44,2,704
31,-3,2,-93
49,-19,2,-931
27,3,2,81
8,-27,1,35
-5,9,2,-45
-14,-15,1,1
16,41,0,57
-11,31,0,20
-11,2,1,-13
-39,31,0,-8
-41,43,0,2
-39,-29,2,1131
-43,-40,2,1720
-14,20,1,-34
-49,4,2,-196
15,43,0,58
11,13,2,143
37,36,2,1332
39,-35,1,74
-49,28,0,-21
45,-50,2,-2250
4,39,2,156
45,-6,0,39
44,34,2,1496
37,27,0,64
27,7,0,34
36,47,2,1692
-22,-28,0,-50
-4,-33,2,132
-5,-44,1,39
13,-2,0,11
-3,-36,1,33
36,-19,2,-684
48,-35,1,83
-12,11,1,-23
-17,-23,0,-40
44,30,2,1320
0,-23,1,23
32,15,0,47
9,29,1,-20
-43,-5,0,-48
28,8,1,20
-12,-5,0,-17
-50,-6,2,300
-27,1,1,-28
-49,-38,1,-11
12,-25,0,-13
17,15,0,32
2,-35,1,37
-50,-31,2,1550
-18,-22,1,4
0,-3,1,3
-4,4,0,0
18,-16,0,2
6,34,1,-28
-30,-33,1,3
45,5,0,50
-5,40,0,35
-36,-26,1,-10
-45,-33,1,-12
3,45,1,-42
-46,-30,2,1380
-25,11,2,-275
-16,-35,1,19
12,20,1,-8
37,41,0,78
-9,46,1,-55
14,42,2,588
-1,-34,0,-35
-37,-48,0,-85
-31,-6,2,186
-49,48,2,-2352
-20,-44,2,880
-7,4,2,-28
44,-49,1,93
11,-13,1,24
12,-40,1,52
-19,29,0,10
43,15,0,58
-19,-15,0,-34
-17,39,0,22
35,4,0,39
10,40,0,50
39,43,2,1677
28,-27,0,1
25,30,2,750
-31,-21,0,-52
-34,1,0,-33
-15,-26,0,-41
4,-48,2,-192
-25,-39,0,-64
-2,2,2,-4
-11,39,2,-429
-21,-22,1,1
4,11,0,15
15,4,2,60
-44,-12,0,-56
-16,-4,1,-12
-6,41,1,-47
-19,-10,0,-29
-27,-45,0,-72
-44,34,2,-1496
-9,-23,1,14
10,-15,2,-150
-38,5,0,-33
-18,12,1,-30
-8,-12,0,-20
-38,35,0,-3
37,20,0,57
-8,-4,2,32
-4,45,2,-180
17,27,1,-10
-20,33,1,-53
-24,24,1,-48
-39,-37,0,-76
30,45,2,1350
-35,-45,2,1575
33,-26,0,7
40,7,0,47
-41,19,2,-779
-7,-12,2,84
10,47,0,57
18,42,0,60
-45,-34,0,-79
3,20,2,60
-18,47,2,-846
-6,-4,1,-2
30,41,0,71
5,-42,1,47
3,17,2,51
-48,-29,2,1392
-15,39,0,24
-13,-45,2,585
-43,38,0,-5
44,0,1,44
37,18,2,666
-41,-29,1,-12
46,15,1,31
21,49,1,-28
1,27,1,-26
-24,-27,0,-51
-30,23,0,-7
25,39,0,64
15,8,2,120
40,42,2,1680
-17,-12,0,-29
-13,40,1,-53
20,-35,0,-15
-22,-45,2,990
-20,-13,0,-33
31,-32,1,63
-33,-16,0,-49
32,-19,0,13
18,-36,0,-18
33,-6,2,-198
27,-3,1,30
-40,40,2,-1600
-17,42,0,25
2,28,1,-26
-9,-43,2,387
-49,-5,0,-54
43,-15,0,28
-18,-48,2,864
34,49,2,1666
-37,42,2,-1554
38,-2,2,-76
-18,30,2,-540
27,20,0,47
6,-22,1,28
-16,-24,2,384
30,46,1,-16
-31,7,0,-24
43,42,1,1
-3,-32,1,29
-39,13,0,-26
8,-27,0,-19
-26,22,1,-48
43,-27,2,-1161
-14,-48,1,34
-30,-28,1,-2
37,27,0,64
-42,-32,0,-74
4,-19,1,23
32,1,0,33
42,17,0,59
43,46,0,89
27,-38,1,65
-1,-48,0,-49
-49,47,2,-2303
-45,-34,0,-79
48,-40,1,88
-32,30,2,-960
-49,-49,0,-98
19,44,1,-25
40,-40,0,0
-33,11,2,-363
6,-30,1,36
-8,11,0,3
-19,-43,2,817
38,-16,2,-608
19,-35,0,-16
-45,-37,2,1665
-13,-37,2,481
3,-32,0,-29
-22,-47,0,-69
4,-1,0,3
-5,33,1,-38
-22,37,1,-59
37,41,0,78
12,-29,0,-17
